index,frequency,average,std-dev,sample-1,sample-2,sample-3
1,1000.000,7.245210e-01,1.467523e-05,+7.24541300E-01,+7.24507200E-01,+7.24514400E-01
2,1062.389,7.254217e-01,2.121702e-05,+7.25434900E-01,+7.25438500E-01,+7.25391800E-01
3,1128.670,7.262302e-01,1.417322e-05,+7.26250000E-01,+7.26223000E-01,+7.26217600E-01
4,1199.086,7.270175e-01,5.122695e-06,+7.27011600E-01,+7.27024100E-01,+7.27016900E-01
5,1273.895,7.277736e-01,1.465613e-05,+7.27773600E-01,+7.27791500E-01,+7.27755600E-01
6,1353.372,7.284396e-01,8.094438e-06,+7.28449800E-01,+7.28439000E-01,+7.28430000E-01
7,1437.807,7.290579e-01,2.557816e-05,+7.29079500E-01,+7.29022000E-01,+7.29072300E-01
8,1527.510,7.296496e-01,2.730791e-05,+7.29614300E-01,+7.29653800E-01,+7.29680800E-01
9,1622.809,7.301931e-01,2.273768e-05,+7.30224800E-01,+7.30181700E-01,+7.30172700E-01
10,1724.054,7.307738e-01,9.958012e-06,+7.30760100E-01,+7.30778000E-01,+7.30783400E-01
11,1831.616,7.312644e-01,1.890932e-05,+7.31245200E-01,+7.31257800E-01,+7.31290100E-01
12,1945.888,7.317054e-01,1.491576e-05,+7.31709000E-01,+7.31721600E-01,+7.31685600E-01
13,2067.289,7.320658e-01,9.333808e-06,+7.32052600E-01,+7.32072400E-01,+7.32072400E-01
14,2196.265,7.324539e-01,6.406252e-06,+7.32462900E-01,+7.32450300E-01,+7.32448500E-01
15,2333.287,7.327607e-01,1.108162e-05,+7.32751100E-01,+7.32776200E-01,+7.32754700E-01
16,2478.857,7.329724e-01,2.348877e-05,+7.33001700E-01,+7.32944200E-01,+7.32971200E-01
17,2633.510,7.331135e-01,2.371502e-05,+7.33144600E-01,+7.33087100E-01,+7.33108700E-01
18,2797.811,7.333588e-01,1.699653e-05,+7.33355800E-01,+7.33381000E-01,+7.33339700E-01
19,2972.363,7.334547e-01,3.472649e-05,+7.33405600E-01,+7.33481000E-01,+7.33477400E-01
20,3157.805,7.335685e-01,1.105813e-05,+7.33570300E-01,+7.33581000E-01,+7.33554100E-01
21,3354.816,7.336752e-01,9.402249e-06,+7.33688300E-01,+7.33666800E-01,+7.33670400E-01
22,3564.118,7.337281e-01,1.103087e-05,+7.33727500E-01,+7.33714900E-01,+7.33741900E-01
23,3786.479,7.337134e-01,8.935449e-06,+7.33703800E-01,+7.33725300E-01,+7.33711000E-01
24,4022.712,7.337161e-01,2.216228e-05,+7.33746600E-01,+7.33707100E-01,+7.33694600E-01
25,4273.684,7.337200e-01,3.544583e-05,+7.33679900E-01,+7.33714000E-01,+7.33766100E-01
26,4540.314,7.336306e-01,3.059405e-06,+7.33634800E-01,+7.33629400E-01,+7.33627600E-01
27,4823.578,7.335173e-01,1.184240e-05,+7.33530400E-01,+7.33519700E-01,+7.33501700E-01
28,5124.514,7.334626e-01,1.352931e-05,+7.33453000E-01,+7.33481700E-01,+7.33453000E-01
29,5444.226,7.333469e-01,2.653379e-05,+7.33377500E-01,+7.33312800E-01,+7.33350500E-01
30,5783.884,7.332785e-01,5.299065e-06,+7.33280300E-01,+7.33271300E-01,+7.33283900E-01
31,6144.733,7.331108e-01,1.174573e-05,+7.33125700E-01,+7.33097000E-01,+7.33109600E-01
32,6528.095,7.329257e-01,7.249825e-06,+7.32915500E-01,+7.32931700E-01,+7.32929900E-01
33,6935.374,7.327035e-01,1.664578e-05,+7.32717900E-01,+7.32712500E-01,+7.32680200E-01
34,7368.063,7.324898e-01,2.080486e-05,+7.32461000E-01,+7.32498800E-01,+7.32509500E-01
35,7827.747,7.323077e-01,2.244963e-06,+7.32308300E-01,+7.32310100E-01,+7.32304700E-01
36,8316.109,7.320575e-01,1.634142e-05,+7.32042500E-01,+7.32049700E-01,+7.32080200E-01
37,8834.941,7.318869e-01,2.096383e-05,+7.31915000E-01,+7.31880900E-01,+7.31864700E-01
38,9386.141,7.316402e-01,2.423638e-05,+7.31625800E-01,+7.31620400E-01,+7.31674300E-01
39,9971.730,7.314108e-01,6.118837e-06,+7.31419200E-01,+7.31408400E-01,+7.31404800E-01
40,10593.853,7.311241e-01,1.227853e-05,+7.31106800E-01,+7.31131900E-01,+7.31133700E-01
41,11254.789,7.308828e-01,2.439686e-05,+7.30916300E-01,+7.30873200E-01,+7.30858900E-01
42,11956.961,7.306284e-01,7.541879e-06,+7.30630800E-01,+7.30636200E-01,+7.30618200E-01
43,12702.940,7.305392e-01,6.406252e-06,+7.30535600E-01,+7.30533800E-01,+7.30548200E-01
44,13495.459,7.303380e-01,1.487153e-05,+7.30354200E-01,+7.30341600E-01,+7.30318300E-01
45,14337.423,7.302357e-01,7.348463e-06,+7.30226700E-01,+7.30235700E-01,+7.30244700E-01
46,15231.916,7.301507e-01,2.075481e-05,+7.30180000E-01,+7.30135100E-01,+7.30136900E-01
47,16182.215,7.306702e-01,3.451438e-05,+7.30621700E-01,+7.30699000E-01,+7.30690000E-01
48,17191.802,7.306426e-01,1.736325e-05,+7.30655800E-01,+7.30654000E-01,+7.30618100E-01
49,18264.376,7.304780e-01,4.441238e-05,+7.30510300E-01,+7.30508500E-01,+7.30415200E-01
50,19403.867,7.302500e-01,7.589600e-06,+7.30244600E-01,+7.30244600E-01,+7.30260700E-01
51,20614.448,7.300488e-01,1.871903e-05,+7.30054200E-01,+7.30023700E-01,+7.30068600E-01
52,21900.556,7.296675e-01,8.565161e-06,+7.29655600E-01,+7.29671700E-01,+7.29675300E-01
53,23266.903,7.293359e-01,2.923631e-05,+7.29355700E-01,+7.29357500E-01,+7.29294600E-01
54,24718.494,7.290810e-01,1.544157e-05,+7.29063000E-01,+7.29079200E-01,+7.29100700E-01
55,26260.649,7.287524e-01,7.307687e-06,+7.28743400E-01,+7.28761300E-01,+7.28752400E-01
56,27899.016,7.284579e-01,1.783262e-05,+7.28483000E-01,+7.28447100E-01,+7.28443500E-01
57,29639.599,7.282201e-01,1.038278e-05,+7.28206400E-01,+7.28231500E-01,+7.28222500E-01
58,31488.774,7.285021e-01,1.392847e-05,+7.28518800E-01,+7.28484700E-01,+7.28502700E-01
59,33453.317,7.282962e-01,8.146303e-06,+7.28305100E-01,+7.28298000E-01,+7.28285400E-01
60,35540.425,7.280370e-01,3.698641e-06,+7.28041200E-01,+7.28032200E-01,+7.28037600E-01
61,37757.746,7.278652e-01,9.178226e-06,+7.27856200E-01,+7.27877800E-01,+7.27861600E-01
62,40113.401,7.276737e-01,1.614937e-05,+7.27674900E-01,+7.27653300E-01,+7.27692800E-01
63,42616.024,7.275324e-01,7.249832e-06,+7.27536600E-01,+7.27538400E-01,+7.27522200E-01
64,45274.781,7.279226e-01,2.545353e-05,+7.27929800E-01,+7.27888500E-01,+7.27949600E-01
65,48099.415,7.278502e-01,1.422963e-05,+7.27831100E-01,+7.27865200E-01,+7.27854400E-01
66,51100.274,7.277957e-01,1.312562e-05,+7.27805900E-01,+7.27804100E-01,+7.27777200E-01
67,54288.352,7.277072e-01,1.778207e-05,+7.27683800E-01,+7.27726900E-01,+7.27710800E-01
68,57675.331,7.276712e-01,2.079043e-05,+7.27642500E-01,+7.27691000E-01,+7.27680200E-01
69,61273.619,7.281142e-01,2.584342e-05,+7.28096800E-01,+7.28150700E-01,+7.28095000E-01
70,65096.399,7.280597e-01,2.147935e-05,+7.28035800E-01,+7.28087900E-01,+7.28055500E-01
71,69157.677,7.279807e-01,3.389169e-05,+7.28019600E-01,+7.27985500E-01,+7.27937000E-01
72,73472.333,7.278724e-01,2.160283e-05,+7.27902900E-01,+7.27856200E-01,+7.27858000E-01
