index,frequency,average,std-dev,sample-1,sample-2,sample-3
1,1000.000,1.640960e-03,7.632299e-05,+1.68672000E-03,+1.53342000E-03,+1.70274000E-03
2,1064.786,1.647377e-03,4.516973e-05,+1.61295000E-03,+1.61799000E-03,+1.71119000E-03
3,1133.769,1.632027e-03,8.439538e-05,+1.64768000E-03,+1.72667000E-03,+1.52173000E-03
4,1207.222,1.645100e-03,5.980785e-05,+1.57427000E-03,+1.64048000E-03,+1.72055000E-03
5,1285.433,1.679163e-03,1.413876e-05,+1.65919000E-03,+1.68834000E-03,+1.68996000E-03
6,1368.711,1.688467e-03,2.388580e-05,+1.70616000E-03,+1.65470000E-03,+1.70454000E-03
7,1457.384,1.724987e-03,1.285628e-05,+1.72163000E-03,+1.71119000E-03,+1.74214000E-03
8,1551.802,1.723427e-03,1.235209e-05,+1.71533000E-03,+1.74088000E-03,+1.71407000E-03
9,1652.337,1.735787e-03,3.895020e-05,+1.68888000E-03,+1.73423000E-03,+1.78425000E-03
10,1759.385,1.806257e-03,1.659248e-05,+1.81879000E-03,+1.81717000E-03,+1.78281000E-03
11,1873.369,1.864797e-03,1.702121e-05,+1.85694000E-03,+1.88843000E-03,+1.84902000E-03
12,1994.737,1.945883e-03,4.987778e-05,+1.98667000E-03,+1.87565000E-03,+1.97533000E-03
13,2123.968,2.125753e-03,9.605874e-06,+2.13475000E-03,+2.13007000E-03,+2.11244000E-03
14,2261.571,2.388867e-03,1.219149e-05,+2.38359000E-03,+2.37729000E-03,+2.40572000E-03
15,2408.089,2.748543e-03,1.114023e-05,+2.73319000E-03,+2.75928000E-03,+2.75316000E-03
16,2564.099,3.257853e-03,6.498217e-06,+3.26667000E-03,+3.25120000E-03,+3.25569000E-03
17,2730.217,3.929153e-03,2.894796e-05,+3.93689000E-03,+3.89047000E-03,+3.96010000E-03
18,2907.097,4.899947e-03,1.124103e-05,+4.89965000E-03,+4.88633000E-03,+4.91386000E-03
19,3095.436,6.188040e-03,2.649528e-06,+6.18534000E-03,+6.19164000E-03,+6.18714000E-03
20,3295.977,7.851760e-03,4.345757e-06,+7.84594000E-03,+7.85638000E-03,+7.85296000E-03
21,3509.510,1.004243e-02,1.694934e-06,+1.00431500E-02,+1.00440500E-02,+1.00400900E-02
22,3736.877,1.288214e-02,2.741901e-06,+1.28816000E-02,+1.28857400E-02,+1.28790900E-02
23,3978.974,1.655351e-02,4.559213e-06,+1.65481200E-02,+1.65531500E-02,+1.65592700E-02
24,4236.756,2.130443e-02,2.134854e-06,+2.13019100E-02,+2.13042500E-02,+2.13071300E-02
25,4511.238,2.742759e-02,1.000400e-06,+2.74285500E-02,+2.74280100E-02,+2.74262100E-02
26,4803.503,3.531748e-02,1.142813e-06,+3.53186200E-02,+3.53179100E-02,+3.53159200E-02
27,5114.703,4.545910e-02,1.174573e-06,+4.54576100E-02,+4.54604800E-02,+4.54592200E-02
28,5446.064,5.847218e-02,1.952440e-06,+5.84694300E-02,+5.84733800E-02,+5.84737400E-02
29,5798.892,7.515531e-02,1.833473e-06,+7.51553700E-02,+7.51530400E-02,+7.51575300E-02
30,6174.579,9.645312e-02,2.592686e-06,+9.64552200E-02,+9.64546800E-02,+9.64494700E-02
31,6574.605,1.239770e-01,4.241565e-04,+1.24558700E-01,+1.23812800E-01,+1.23559400E-01
32,7000.548,1.575088e-01,8.820556e-06,+1.57518900E-01,+1.57497400E-01,+1.57510000E-01
33,7454.085,1.998951e-01,5.253781e-06,+1.99896900E-01,+1.99900500E-01,+1.99888000E-01
34,7937.005,2.514225e-01,5.161393e-06,+2.51415900E-01,+2.51423100E-01,+2.51428500E-01
35,8451.212,3.121354e-01,1.697049e-06,+3.12136600E-01,+3.12136600E-01,+3.12133000E-01
36,8998.732,3.802239e-01,4.677849e-06,+3.80226300E-01,+3.80217400E-01,+3.80228100E-01
37,9581.724,4.517004e-01,1.427445e-05,+4.51704600E-01,+4.51681200E-01,+4.51715400E-01
38,10202.485,5.206909e-01,1.567936e-05,+5.20674200E-01,+5.20686700E-01,+5.20711900E-01
39,10863.463,5.811646e-01,3.612820e-05,+5.81211300E-01,+5.81159200E-01,+5.81123300E-01
40,11567.263,6.291970e-01,8.311569e-06,+6.29200000E-01,+6.29185700E-01,+6.29205400E-01
41,12316.659,6.642266e-01,2.201459e-05,+6.64242200E-01,+6.64242200E-01,+6.64195500E-01
42,13114.606,6.878640e-01,2.170258e-05,+6.87851400E-01,+6.87846000E-01,+6.87894500E-01
43,13964.249,7.029517e-01,3.663450e-05,+7.02987600E-01,+7.02901400E-01,+7.02966100E-01
44,14868.936,7.121027e-01,1.322724e-05,+7.12102700E-01,+7.12118900E-01,+7.12086500E-01
45,15832.235,7.174096e-01,2.177067e-05,+7.17380300E-01,+7.17416200E-01,+7.17432400E-01
46,16857.942,7.207790e-01,1.908303e-05,+7.20756200E-01,+7.20802900E-01,+7.20777800E-01
47,17950.100,7.221801e-01,2.305389e-05,+7.22205300E-01,+7.22185500E-01,+7.22149600E-01
48,19113.015,7.224908e-01,5.299055e-06,+7.22485400E-01,+7.22498000E-01,+7.22489000E-01
49,20351.270,7.220670e-01,1.202996e-05,+7.22083200E-01,+7.22063400E-01,+7.22054400E-01
50,21669.747,7.212799e-01,1.232558e-05,+7.21262500E-01,+7.21289500E-01,+7.21287700E-01
51,23073.643,7.202186e-01,6.627223e-06,+7.20210200E-01,+7.20219200E-01,+7.20226400E-01
52,24568.491,7.188060e-01,4.407186e-05,+7.18764700E-01,+7.18786300E-01,+7.18867100E-01
53,26160.185,7.170468e-01,5.056022e-05,+7.17101900E-01,+7.17058800E-01,+7.16979800E-01
54,27854.998,7.147668e-01,1.913537e-05,+7.14774600E-01,+7.14785400E-01,+7.14740500E-01
55,29659.611,7.118170e-01,3.888762e-05,+7.11869100E-01,+7.11806200E-01,+7.11775700E-01
56,31581.138,7.081837e-01,1.118044e-05,+7.08198600E-01,+7.08180700E-01,+7.08171700E-01
57,33627.153,7.022003e-01,2.147283e-05,+7.02224300E-01,+7.02172200E-01,+7.02204500E-01
58,35805.721,6.933252e-01,5.939702e-06,+6.93331800E-01,+6.93326400E-01,+6.93317400E-01
59,38125.430,6.800749e-01,1.078713e-05,+6.80089800E-01,+6.80070100E-01,+6.80064700E-01
60,40595.423,6.608413e-01,1.192318e-05,+6.60847900E-01,+6.60851500E-01,+6.60824600E-01
61,43225.437,6.328340e-01,1.038279e-05,+6.32845400E-01,+6.32836400E-01,+6.32820300E-01
62,46025.840,5.946771e-01,7.348467e-06,+5.94677100E-01,+5.94686100E-01,+5.94668100E-01
63,49007.669,5.446198e-01,1.761710e-05,+5.44597600E-01,+5.44621000E-01,+5.44640700E-01
64,52182.678,4.845751e-01,1.544158e-05,+4.84593100E-01,+4.84576900E-01,+4.84555400E-01
65,55563.384,4.184866e-01,1.098919e-05,+4.18499800E-01,+4.18472900E-01,+4.18487200E-01
66,59163.112,3.516725e-01,1.482033e-05,+3.51682100E-01,+3.51651600E-01,+3.51683900E-01
67,62996.052,2.891874e-01,2.245000e-06,+2.89188000E-01,+2.89189800E-01,+2.89184400E-01
68,67077.313,2.336712e-01,4.489989e-06,+2.33672400E-01,+2.33665200E-01,+2.33676000E-01
69,71422.983,1.866031e-01,7.348469e-06,+1.86594100E-01,+1.86612100E-01,+1.86603100E-01
70,76050.190,1.479184e-01,5.517447e-06,+1.47913600E-01,+1.47926100E-01,+1.47915400E-01
71,80977.176,1.165552e-01,3.698649e-06,+1.16550400E-01,+1.16555800E-01,+1.16559400E-01
72,86223.362,9.187882e-02,8.198546e-06,+9.18897200E-02,+9.18767800E-02,+9.18699500E-02
