index,frequency,average,std-dev,sample-1,sample-2,sample-3
1,1000.000,7.243599e-01,1.024120e-05,+7.24345600E-01,+7.24365300E-01,+7.24368900E-01
2,1060.957,7.252225e-01,1.321522e-05,+7.25239300E-01,+7.25221300E-01,+7.25207000E-01
3,1125.629,7.259688e-01,8.611621e-06,+7.25980800E-01,+7.25961000E-01,+7.25964600E-01
4,1194.244,7.267885e-01,9.520623e-06,+7.26776600E-01,+7.26789100E-01,+7.26799900E-01
5,1267.041,7.275500e-01,1.279540e-05,+7.27536800E-01,+7.27545800E-01,+7.27567300E-01
6,1344.276,7.281848e-01,2.226123e-05,+7.28209400E-01,+7.28189600E-01,+7.28155500E-01
7,1426.218,7.288008e-01,2.103442e-05,+7.28830100E-01,+7.28781700E-01,+7.28790600E-01
8,1513.156,7.293913e-01,4.028656e-05,+7.29336200E-01,+7.29406300E-01,+7.29431400E-01
9,1605.393,7.299647e-01,2.649541e-05,+7.29998800E-01,+7.29961100E-01,+7.29934200E-01
10,1703.252,7.303982e-01,6.945492e-06,+7.30404800E-01,+7.30388600E-01,+7.30401200E-01
11,1807.077,7.308403e-01,2.465040e-05,+7.30807400E-01,+7.30846900E-01,+7.30866700E-01
12,1917.230,7.312892e-01,1.397291e-05,+7.31308900E-01,+7.31280200E-01,+7.31278400E-01
13,2034.098,7.317106e-01,2.222446e-05,+7.31681300E-01,+7.31715400E-01,+7.31735100E-01
14,2158.090,7.321177e-01,2.642125e-05,+7.32132700E-01,+7.32080600E-01,+7.32139900E-01
15,2289.640,7.324539e-01,2.274296e-05,+7.32426300E-01,+7.32482000E-01,+7.32453300E-01
16,2429.209,7.327583e-01,2.339321e-05,+7.32734300E-01,+7.32790000E-01,+7.32750500E-01
17,2577.285,7.329844e-01,1.908513e-05,+7.33008400E-01,+7.32961700E-01,+7.32983200E-01
18,2734.388,7.331765e-01,2.258057e-05,+7.33146000E-01,+7.33199900E-01,+7.33183700E-01
19,2901.067,7.333657e-01,5.122717e-06,+7.33359100E-01,+7.33371600E-01,+7.33366300E-01
20,3077.907,7.334023e-01,1.280634e-05,+7.33419700E-01,+7.33389200E-01,+7.33398100E-01
21,3265.526,7.335013e-01,1.118045e-05,+7.33516200E-01,+7.33498300E-01,+7.33489300E-01
22,3464.582,7.335457e-01,1.333567e-05,+7.33528300E-01,+7.33560700E-01,+7.33548100E-01
23,3675.771,7.335465e-01,1.174573e-05,+7.33531600E-01,+7.33560300E-01,+7.33547700E-01
24,3899.834,7.335707e-01,1.487152e-05,+7.33551000E-01,+7.33574300E-01,+7.33586900E-01
25,4137.555,7.335747e-01,1.908513e-05,+7.33550700E-01,+7.33575900E-01,+7.33597400E-01
26,4389.767,7.335122e-01,1.991086e-05,+7.33537900E-01,+7.33489400E-01,+7.33509200E-01
27,4657.352,7.334677e-01,3.558942e-05,+7.33480300E-01,+7.33503600E-01,+7.33419200E-01
28,4941.249,7.334250e-01,1.990684e-05,+7.33411800E-01,+7.33410000E-01,+7.33453100E-01
29,5242.451,7.333698e-01,1.614689e-05,+7.33390100E-01,+7.33368600E-01,+7.33350600E-01
30,5562.014,7.332175e-01,2.886870e-05,+7.33179800E-01,+7.33222900E-01,+7.33249900E-01
31,5901.056,7.331539e-01,5.892557e-06,+7.33145600E-01,+7.33158100E-01,+7.33158100E-01
32,6260.764,7.330204e-01,1.607490e-05,+7.33009000E-01,+7.33009000E-01,+7.33043100E-01
33,6642.400,7.328928e-01,1.614937e-05,+7.32894000E-01,+7.32911900E-01,+7.32872400E-01
34,7047.299,7.327227e-01,2.774539e-05,+7.32683800E-01,+7.32737700E-01,+7.32746600E-01
35,7476.879,7.325305e-01,1.607614e-05,+7.32523900E-01,+7.32514900E-01,+7.32552600E-01
36,7932.645,7.323466e-01,8.054943e-06,+7.32346000E-01,+7.32337100E-01,+7.32356800E-01
37,8416.192,7.320999e-01,1.664579e-05,+7.32076600E-01,+7.32114300E-01,+7.32108900E-01
38,8929.216,7.318736e-01,5.299044e-06,+7.31868200E-01,+7.31871800E-01,+7.31880800E-01
39,9473.511,7.316886e-01,9.132479e-06,+7.31676100E-01,+7.31697600E-01,+7.31692200E-01
40,10050.985,7.314390e-01,2.277372e-05,+7.31437200E-01,+7.31467700E-01,+7.31412000E-01
41,10663.660,7.311319e-01,1.412664e-05,+7.31151600E-01,+7.31119300E-01,+7.31124700E-01
42,11313.681,7.308864e-01,8.858888e-06,+7.30896600E-01,+7.30875000E-01,+7.30887600E-01
43,12003.326,7.307691e-01,3.888461e-06,+7.30772700E-01,+7.30763700E-01,+7.30770900E-01
44,12735.009,7.306254e-01,3.793319e-05,+7.30666700E-01,+7.30634400E-01,+7.30575100E-01
45,13511.293,7.303530e-01,2.895594e-05,+7.30384700E-01,+7.30359600E-01,+7.30314700E-01
46,14334.897,7.301698e-01,1.118043e-05,+7.30172800E-01,+7.30154900E-01,+7.30181800E-01
47,15208.705,7.300884e-01,6.406234e-06,+7.30093800E-01,+7.30092000E-01,+7.30079400E-01
48,16135.777,7.305900e-01,1.750549e-05,+7.30575100E-01,+7.30614600E-01,+7.30580400E-01
49,17119.360,7.306318e-01,9.958018e-06,+7.30618100E-01,+7.30641400E-01,+7.30636000E-01
50,18162.900,7.305492e-01,1.220501e-05,+7.30566000E-01,+7.30544400E-01,+7.30537300E-01
51,19270.050,7.303404e-01,2.442953e-05,+7.30373900E-01,+7.30316400E-01,+7.30330800E-01
52,20444.689,7.301039e-01,1.496537e-05,+7.30111700E-01,+7.30117100E-01,+7.30083000E-01
53,21690.930,7.297866e-01,1.550748e-05,+7.29801000E-01,+7.29793800E-01,+7.29765100E-01
54,23013.137,7.294958e-01,8.138933e-06,+7.29494000E-01,+7.29506500E-01,+7.29486800E-01
55,24415.942,7.291917e-01,1.412233e-05,+7.29188700E-01,+7.29210300E-01,+7.29176100E-01
56,25904.257,7.288673e-01,1.397721e-05,+7.28851100E-01,+7.28865500E-01,+7.28885200E-01
57,27483.295,7.285997e-01,2.784468e-05,+7.28562000E-01,+7.28628400E-01,+7.28608700E-01
58,29158.585,7.283232e-01,1.401999e-05,+7.28332200E-01,+7.28334000E-01,+7.28303400E-01
59,30935.996,7.285871e-01,1.161905e-05,+7.28603200E-01,+7.28581700E-01,+7.28576300E-01
60,32821.752,7.283698e-01,3.888461e-06,+7.28368000E-01,+7.28366200E-01,+7.28375200E-01
61,34822.458,7.281531e-01,2.075481e-05,+7.28166900E-01,+7.28168700E-01,+7.28123800E-01
62,36945.120,7.279472e-01,9.562425e-06,+7.27958600E-01,+7.27935200E-01,+7.27947800E-01
63,39197.172,7.278143e-01,1.582284e-05,+7.27800600E-01,+7.27805900E-01,+7.27836500E-01
64,41586.502,7.277216e-01,1.276566e-05,+7.27739500E-01,+7.27714400E-01,+7.27710800E-01
65,44121.478,7.276467e-01,1.361037e-05,+7.27651500E-01,+7.27660500E-01,+7.27628200E-01
66,46810.977,7.280759e-01,2.642738e-05,+7.28073500E-01,+7.28044800E-01,+7.28109400E-01
67,49664.419,7.279921e-01,1.908303e-05,+7.28016000E-01,+7.27990900E-01,+7.27969300E-01
68,52691.798,7.278251e-01,1.748834e-05,+7.27849000E-01,+7.27807700E-01,+7.27818500E-01
69,55903.716,7.277646e-01,3.813039e-05,+7.27717900E-01,+7.27764600E-01,+7.27811300E-01
70,59311.422,7.277131e-01,2.371502e-05,+7.27739500E-01,+7.27717900E-01,+7.27682000E-01
71,62926.850,7.280992e-01,1.968965e-05,+7.28071700E-01,+7.28116600E-01,+7.28109400E-01
72,66762.662,7.281106e-01,6.945508e-06,+7.28107600E-01,+7.28120200E-01,+7.28104000E-01
73,70832.294,7.281136e-01,2.273769e-05,+7.28145300E-01,+7.28102200E-01,+7.28093200E-01
74,75149.996,7.286906e-01,7.713652e-05,+7.28775600E-01,+7.28707400E-01,+7.28588900E-01
75,79730.891,7.285906e-01,3.032626e-05,+7.28551100E-01,+7.28596000E-01,+7.28624800E-01
76,84591.023,7.286242e-01,4.288328e-05,+7.28682200E-01,+7.28610400E-01,+7.28579900E-01
77,89747.412,7.291916e-01,1.767490e-05,+7.29194000E-01,+7.29212000E-01,+7.29168900E-01
78,95218.117,7.293604e-01,8.979974e-06,+7.29362800E-01,+7.29348400E-01,+7.29370000E-01
79,101022.299,7.295412e-01,3.082867e-05,+7.29538800E-01,+7.29504700E-01,+7.29580100E-01
80,107180.284,7.302726e-01,3.059387e-06,+7.30269600E-01,+7.30271400E-01,+7.30276800E-01
81,113713.640,7.305228e-01,2.273426e-05,+7.30521000E-01,+7.30551500E-01,+7.30495900E-01
82,120645.247,7.313303e-01,2.206360e-05,+7.31316500E-01,+7.31312900E-01,+7.31361400E-01
83,127999.383,7.317086e-01,2.964066e-05,+7.31727700E-01,+7.31731300E-01,+7.31666700E-01
84,135801.802,7.326280e-01,1.422963e-05,+7.32647100E-01,+7.32613000E-01,+7.32623800E-01
85,144079.831,7.332062e-01,2.274296e-05,+7.33178600E-01,+7.33205600E-01,+7.33234300E-01
86,152862.461,7.343296e-01,3.758522e-05,+7.34286500E-01,+7.34378100E-01,+7.34324300E-01
87,162180.451,7.354735e-01,1.447480e-05,+7.35478900E-01,+7.35487900E-01,+7.35453700E-01
88,172066.435,7.361157e-01,2.800647e-05,+7.36141500E-01,+7.36128900E-01,+7.36076800E-01
89,182555.036,7.372333e-01,2.978728e-05,+7.37200900E-01,+7.37226100E-01,+7.37272800E-01
90,193682.987,7.385794e-01,1.317269e-05,+7.38571000E-01,+7.38569200E-01,+7.38598000E-01
91,205489.261,7.397699e-01,1.913850e-05,+7.39772300E-01,+7.39792100E-01,+7.39745400E-01
92,218015.207,7.404265e-01,1.280634e-05,+7.40443900E-01,+7.40413400E-01,+7.40422300E-01
93,231304.693,7.416674e-01,1.736324e-05,+7.41654200E-01,+7.41656000E-01,+7.41691900E-01
94,245404.263,7.427136e-01,1.914384e-05,+7.42702800E-01,+7.42740500E-01,+7.42697500E-01
95,260363.295,7.436384e-01,7.348463e-06,+7.43638400E-01,+7.43629400E-01,+7.43647400E-01
96,276234.181,7.442866e-01,1.417321e-05,+7.44306400E-01,+7.44274000E-01,+7.44279400E-01
97,293072.503,7.452431e-01,1.936084e-05,+7.45222100E-01,+7.45268800E-01,+7.45238300E-01
98,310937.234,7.455094e-01,2.890402e-05,+7.45469900E-01,+7.45520200E-01,+7.45538200E-01
99,329890.939,7.447355e-01,3.571221e-05,+7.44685200E-01,+7.44764300E-01,+7.44757100E-01
100,350000.000,7.435157e-01,3.184853e-05,+7.43530600E-01,+7.43471400E-01,+7.43545000E-01
