index,frequency,average,std-dev,sample-1,sample-2,sample-3
1,1000.000,7.246101e-01,8.581504e-06,+7.24622100E-01,+7.24605900E-01,+7.24602400E-01
2,1057.357,7.253819e-01,2.245012e-06,+7.25379500E-01,+7.25381300E-01,+7.25384900E-01
3,1118.004,7.262195e-01,4.666743e-05,+7.26153600E-01,+7.26248800E-01,+7.26256000E-01
4,1182.129,7.269645e-01,3.158808e-05,+7.26967500E-01,+7.27001600E-01,+7.26924400E-01
5,1249.932,7.275919e-01,1.472141e-05,+7.27605700E-01,+7.27571500E-01,+7.27598500E-01
6,1321.625,7.283035e-01,2.545353e-05,+7.28296300E-01,+7.28337600E-01,+7.28276500E-01
7,1397.429,7.289303e-01,2.136919e-05,+7.28918900E-01,+7.28911700E-01,+7.28960200E-01
8,1477.581,7.295453e-01,3.888447e-06,+7.29543500E-01,+7.29550700E-01,+7.29541700E-01
9,1562.331,7.300864e-01,7.541887e-06,+7.30096600E-01,+7.30084000E-01,+7.30078600E-01
10,1651.941,7.305565e-01,9.178238e-06,+7.30560100E-01,+7.30565500E-01,+7.30543900E-01
11,1746.691,7.310680e-01,9.402255e-06,+7.31059600E-01,+7.31081100E-01,+7.31063200E-01
12,1846.876,7.315174e-01,2.143564e-05,+7.31489300E-01,+7.31541300E-01,+7.31521600E-01
13,1952.807,7.318898e-01,1.078712e-05,+7.31885000E-01,+7.31879600E-01,+7.31904700E-01
14,2064.814,7.323370e-01,2.320866e-05,+7.32305900E-01,+7.32361600E-01,+7.32343600E-01
15,2183.246,7.326317e-01,5.044027e-06,+7.32635300E-01,+7.32624600E-01,+7.32635300E-01
16,2308.470,7.328679e-01,2.052906e-05,+7.32878700E-01,+7.32885900E-01,+7.32839200E-01
17,2440.877,7.331359e-01,2.500005e-05,+7.33104200E-01,+7.33138300E-01,+7.33165300E-01
18,2580.878,7.333573e-01,1.058501e-05,+7.33365700E-01,+7.33363900E-01,+7.33342400E-01
19,2728.909,7.336147e-01,1.837613e-05,+7.33636200E-01,+7.33616500E-01,+7.33591300E-01
20,2885.431,7.337093e-01,3.821527e-05,+7.33754200E-01,+7.33712900E-01,+7.33660800E-01
21,3050.931,7.338088e-01,2.022973e-05,+7.33827400E-01,+7.33780700E-01,+7.33818400E-01
22,3225.923,7.338479e-01,2.244963e-06,+7.33850300E-01,+7.33844900E-01,+7.33848500E-01
23,3410.952,7.338451e-01,2.411809e-05,+7.33878600E-01,+7.33833700E-01,+7.33822900E-01
24,3606.593,7.338363e-01,3.655419e-06,+7.33831600E-01,+7.33840500E-01,+7.33836900E-01
25,3813.456,7.338828e-01,2.646965e-05,+7.33849200E-01,+7.33885200E-01,+7.33913900E-01
26,4032.185,7.338992e-01,1.550749e-05,+7.33877700E-01,+7.33906400E-01,+7.33913600E-01
27,4263.458,7.339529e-01,1.522637e-05,+7.33942100E-01,+7.33942100E-01,+7.33974400E-01
28,4507.997,7.338790e-01,2.053490e-05,+7.33904100E-01,+7.33853800E-01,+7.33879000E-01
29,4766.562,7.337615e-01,1.990684e-05,+7.33774700E-01,+7.33733400E-01,+7.33776500E-01
30,5039.957,7.337565e-01,2.799290e-05,+7.33778100E-01,+7.33774500E-01,+7.33717000E-01
31,5329.034,7.336007e-01,1.635733e-05,+7.33623500E-01,+7.33585800E-01,+7.33592900E-01
32,5634.691,7.334690e-01,1.143164e-05,+7.33461800E-01,+7.33485100E-01,+7.33460000E-01
33,5957.880,7.333113e-01,1.698712e-05,+7.33321500E-01,+7.33287400E-01,+7.33325100E-01
34,6299.605,7.332089e-01,8.611614e-06,+7.33201100E-01,+7.33204700E-01,+7.33220900E-01
35,6660.931,7.330095e-01,1.103087e-05,+7.33025100E-01,+7.33001700E-01,+7.33001700E-01
36,7042.982,7.328227e-01,4.489987e-06,+7.32816700E-01,+7.32827500E-01,+7.32823900E-01
37,7446.946,7.326011e-01,3.171509e-05,+7.32644200E-01,+7.32568800E-01,+7.32590300E-01
38,7874.080,7.324418e-01,1.671407e-05,+7.32435800E-01,+7.32425000E-01,+7.32464600E-01
39,8325.713,7.322807e-01,9.785707e-06,+7.32293900E-01,+7.32270500E-01,+7.32277700E-01
40,8803.250,7.320413e-01,3.107292e-05,+7.32082000E-01,+7.32035300E-01,+7.32006600E-01
41,9308.177,7.317713e-01,2.717282e-05,+7.31809000E-01,+7.31758700E-01,+7.31746100E-01
42,9842.066,7.315437e-01,1.580513e-05,+7.31521600E-01,+7.31552100E-01,+7.31557500E-01
43,10406.577,7.314348e-01,1.219189e-05,+7.31422800E-01,+7.31451500E-01,+7.31430000E-01
44,11003.466,7.311618e-01,2.663319e-05,+7.31198300E-01,+7.31135500E-01,+7.31151600E-01
45,11634.591,7.310031e-01,8.979974e-06,+7.31015100E-01,+7.31000700E-01,+7.30993500E-01
46,12301.915,7.308146e-01,9.333808e-06,+7.30821200E-01,+7.30821200E-01,+7.30801400E-01
47,13007.515,7.306129e-01,1.024706e-05,+7.30600300E-01,+7.30612900E-01,+7.30625400E-01
48,13753.587,7.305553e-01,1.690687e-05,+7.30575100E-01,+7.30557100E-01,+7.30533800E-01
49,14542.450,7.304110e-01,1.525130e-05,+7.30417000E-01,+7.30426000E-01,+7.30390100E-01
50,15376.560,7.303345e-01,2.219464e-05,+7.30312900E-01,+7.30325500E-01,+7.30365000E-01
51,16258.513,7.308450e-01,1.686660e-05,+7.30844400E-01,+7.30824700E-01,+7.30866000E-01
52,17191.051,7.307941e-01,1.664579e-05,+7.30785100E-01,+7.30779700E-01,+7.30817400E-01
