index,frequency,average,std-dev,sample-1,sample-2,sample-3
1,1000.000,7.245724e-01,2.177068e-05,+7.24579000E-01,+7.24543100E-01,+7.24595200E-01
2,1064.786,7.254401e-01,2.069498e-05,+7.25436500E-01,+7.25467100E-01,+7.25416800E-01
3,1133.769,7.263239e-01,3.686419e-05,+7.26291000E-01,+7.26305400E-01,+7.26375400E-01
4,1207.222,7.271728e-01,1.469711e-06,+7.27174600E-01,+7.27171000E-01,+7.27172800E-01
5,1285.433,7.279372e-01,3.330839e-05,+7.27974300E-01,+7.27943700E-01,+7.27893500E-01
6,1368.711,7.286102e-01,2.411809e-05,+7.28632400E-01,+7.28621600E-01,+7.28576700E-01
7,1457.384,7.292292e-01,9.562419e-06,+7.29217200E-01,+7.29229800E-01,+7.29240600E-01
8,1551.802,7.299065e-01,1.487152e-05,+7.29890300E-01,+7.29926200E-01,+7.29902900E-01
9,1652.337,7.305056e-01,2.642739e-05,+7.30472100E-01,+7.30536700E-01,+7.30508000E-01
10,1759.385,7.309990e-01,1.792435e-05,+7.30975000E-01,+7.31003800E-01,+7.31018100E-01
11,1873.369,7.315098e-01,2.584729e-05,+7.31476300E-01,+7.31539200E-01,+7.31514000E-01
12,1994.737,7.319162e-01,3.655434e-06,+7.31916800E-01,+7.31920400E-01,+7.31911500E-01
13,2123.968,7.322856e-01,1.487153e-05,+7.32301800E-01,+7.32265900E-01,+7.32289200E-01
14,2261.571,7.326366e-01,1.778208e-05,+7.32660000E-01,+7.32633000E-01,+7.32616900E-01
15,2408.089,7.328991e-01,1.472141e-05,+7.32917700E-01,+7.32881700E-01,+7.32897900E-01
16,2564.099,7.332101e-01,2.206360e-05,+7.33179000E-01,+7.33223900E-01,+7.33227500E-01
17,2730.217,7.334584e-01,1.529713e-05,+7.33471000E-01,+7.33436900E-01,+7.33467400E-01
18,2907.097,7.336093e-01,1.245802e-05,+7.33624800E-01,+7.33594300E-01,+7.33608700E-01
19,3095.436,7.337578e-01,3.008799e-05,+7.33798500E-01,+7.33748200E-01,+7.33726700E-01
20,3295.977,7.338884e-01,4.021752e-05,+7.33860900E-01,+7.33945300E-01,+7.33859100E-01
21,3509.510,7.339448e-01,1.397292e-05,+7.33953800E-01,+7.33955600E-01,+7.33925100E-01
22,3736.877,7.339302e-01,1.664579e-05,+7.33915800E-01,+7.33921200E-01,+7.33953500E-01
23,3978.974,7.339250e-01,3.059405e-06,+7.33926200E-01,+7.33920800E-01,+7.33928000E-01
24,4236.756,7.338990e-01,2.566956e-05,+7.33931300E-01,+7.33897200E-01,+7.33868500E-01
25,4511.238,7.338275e-01,1.325443e-05,+7.33828700E-01,+7.33810700E-01,+7.33843100E-01
26,4803.503,7.337124e-01,1.141578e-05,+7.33708200E-01,+7.33728000E-01,+7.33701000E-01
27,5114.703,7.335979e-01,8.611621e-06,+7.33585900E-01,+7.33602100E-01,+7.33605700E-01
28,5446.064,7.334864e-01,1.697032e-06,+7.33488800E-01,+7.33485200E-01,+7.33485200E-01
29,5798.892,7.333103e-01,1.467522e-05,+7.33330600E-01,+7.33296500E-01,+7.33303700E-01
30,6174.579,7.330940e-01,1.365577e-05,+7.33075400E-01,+7.33107800E-01,+7.33098800E-01
31,6574.605,7.329736e-01,1.634143e-05,+7.32965800E-01,+7.32958600E-01,+7.32996300E-01
32,7000.548,7.327425e-01,2.339150e-05,+7.32775400E-01,+7.32728700E-01,+7.32723300E-01
33,7454.085,7.325191e-01,2.785546e-05,+7.32520300E-01,+7.32552600E-01,+7.32484400E-01
34,7937.005,7.322964e-01,1.614937e-05,+7.32276000E-01,+7.32297600E-01,+7.32315500E-01
35,8451.212,7.321143e-01,9.178232e-06,+7.32101700E-01,+7.32123300E-01,+7.32117900E-01
36,8998.732,7.318293e-01,7.541894e-06,+7.31821500E-01,+7.31826900E-01,+7.31839500E-01
37,9581.724,7.316976e-01,1.691751e-05,+7.31681500E-01,+7.31690400E-01,+7.31721000E-01
38,10202.485,7.314252e-01,1.482034e-05,+7.31415600E-01,+7.31446100E-01,+7.31413800E-01
39,10863.463,7.311510e-01,1.098918e-05,+7.31164200E-01,+7.31137300E-01,+7.31151600E-01
40,11567.263,7.309516e-01,1.809426e-05,+7.30957600E-01,+7.30927100E-01,+7.30970200E-01
41,12316.659,7.307451e-01,3.458391e-05,+7.30785200E-01,+7.30749300E-01,+7.30700800E-01
42,13114.606,7.305297e-01,9.740756e-06,+7.30526700E-01,+7.30519500E-01,+7.30542800E-01
43,13964.249,7.303237e-01,8.777378e-06,+7.30323700E-01,+7.30334400E-01,+7.30312900E-01
44,14868.936,7.302051e-01,1.983941e-05,+7.30206900E-01,+7.30228500E-01,+7.30180000E-01
45,15832.235,7.301261e-01,2.545570e-06,+7.30129700E-01,+7.30124300E-01,+7.30124300E-01
46,16857.942,7.306840e-01,1.187939e-05,+7.30697200E-01,+7.30686400E-01,+7.30668400E-01
47,17950.100,7.306007e-01,2.750648e-05,+7.30607300E-01,+7.30630600E-01,+7.30564200E-01
48,19113.015,7.304271e-01,8.094445e-06,+7.30416900E-01,+7.30436700E-01,+7.30427700E-01
49,20351.270,7.301692e-01,7.730608e-06,+7.30165600E-01,+7.30162000E-01,+7.30179900E-01
50,21669.747,7.298908e-01,4.242651e-05,+7.29950100E-01,+7.29869300E-01,+7.29853100E-01
51,23073.643,7.294868e-01,1.534406e-05,+7.29495800E-01,+7.29499400E-01,+7.29465200E-01
52,24568.491,7.291540e-01,1.078713e-05,+7.29149200E-01,+7.29168900E-01,+7.29143800E-01
53,26160.185,7.288404e-01,1.783262e-05,+7.28826000E-01,+7.28829600E-01,+7.28865500E-01
54,27854.998,7.285859e-01,1.607614e-05,+7.28592500E-01,+7.28563800E-01,+7.28601500E-01
55,29659.611,7.283363e-01,9.419249e-06,+7.28341100E-01,+7.28344600E-01,+7.28323100E-01
56,31581.138,7.286236e-01,4.489975e-06,+7.28628400E-01,+7.28624800E-01,+7.28617600E-01
57,33627.153,7.283470e-01,9.740750e-06,+7.28350000E-01,+7.28357200E-01,+7.28333900E-01
58,35805.721,7.281723e-01,1.923128e-05,+7.28150700E-01,+7.28197400E-01,+7.28168700E-01
