index,frequency,average,std-dev,sample-1,sample-2,sample-3
1,1000.000,7.245910e-01,3.184853e-05,+7.24620300E-01,+7.24605900E-01,+7.24546700E-01
2,1054.976,7.253384e-01,1.632183e-05,+7.25320400E-01,+7.25359900E-01,+7.25334800E-01
3,1112.975,7.261473e-01,1.862048e-05,+7.26134100E-01,+7.26134100E-01,+7.26173600E-01
4,1174.162,7.268846e-01,1.396854e-05,+7.26867200E-01,+7.26885200E-01,+7.26901400E-01
5,1238.714,7.276115e-01,2.016934e-05,+7.27584500E-01,+7.27633000E-01,+7.27616900E-01
6,1306.814,7.282130e-01,2.843741e-05,+7.28230400E-01,+7.28235700E-01,+7.28172900E-01
7,1378.657,7.287483e-01,1.099102e-05,+7.28748900E-01,+7.28761400E-01,+7.28734500E-01
8,1454.451,7.294538e-01,2.421327e-05,+7.29423800E-01,+7.29454400E-01,+7.29483100E-01
9,1534.411,7.299320e-01,2.604778e-05,+7.29957100E-01,+7.29942800E-01,+7.29896100E-01
10,1618.768,7.304636e-01,3.213983e-05,+7.30447500E-01,+7.30508500E-01,+7.30434900E-01
11,1707.762,7.308950e-01,1.469711e-06,+7.30896800E-01,+7.30895000E-01,+7.30893200E-01
12,1801.648,7.313384e-01,1.580514e-05,+7.31360500E-01,+7.31324600E-01,+7.31330000E-01
13,1900.696,7.317011e-01,1.686660e-05,+7.31700500E-01,+7.31680800E-01,+7.31722100E-01
14,2005.190,7.320323e-01,1.908513e-05,+7.32033500E-01,+7.32055000E-01,+7.32008300E-01
15,2115.428,7.322935e-01,2.451304e-05,+7.32310800E-01,+7.32310800E-01,+7.32258800E-01
16,2231.726,7.326164e-01,2.768987e-05,+7.32654700E-01,+7.32604500E-01,+7.32590100E-01
17,2354.418,7.327365e-01,2.414709e-05,+7.32752700E-01,+7.32754500E-01,+7.32702400E-01
18,2483.856,7.329992e-01,1.392703e-05,+7.32981900E-01,+7.32999800E-01,+7.33016000E-01
19,2620.409,7.332614e-01,2.259120e-05,+7.33268600E-01,+7.33284700E-01,+7.33230800E-01
20,2764.470,7.334344e-01,2.138323e-05,+7.33413500E-01,+7.33426000E-01,+7.33463800E-01
21,2916.450,7.335231e-01,1.719309e-05,+7.33538600E-01,+7.33531500E-01,+7.33499100E-01
22,3076.786,7.335592e-01,1.553326e-05,+7.33579500E-01,+7.33541800E-01,+7.33556200E-01
23,3245.936,7.336862e-01,2.077322e-05,+7.33663500E-01,+7.33713700E-01,+7.33681400E-01
24,3424.386,7.336972e-01,1.651551e-05,+7.33708000E-01,+7.33709800E-01,+7.33673900E-01
25,3612.646,7.337292e-01,3.555737e-05,+7.33682500E-01,+7.33736400E-01,+7.33768700E-01
26,3811.257,7.337607e-01,1.475677e-05,+7.33741500E-01,+7.33777400E-01,+7.33763100E-01
27,4020.786,7.337718e-01,2.361445e-05,+7.33741200E-01,+7.33798700E-01,+7.33775400E-01
28,4241.834,7.336967e-01,6.627215e-06,+7.33705100E-01,+7.33688900E-01,+7.33696100E-01
29,4475.034,7.337582e-01,3.937930e-05,+7.33703100E-01,+7.33778500E-01,+7.33792900E-01
30,4721.055,7.336992e-01,7.746110e-06,+7.33710000E-01,+7.33695600E-01,+7.33692100E-01
31,4980.602,7.335692e-01,1.968965e-05,+7.33551800E-01,+7.33559000E-01,+7.33596700E-01
32,5254.417,7.335356e-01,6.690472e-06,+7.33528400E-01,+7.33533800E-01,+7.33544500E-01
33,5543.286,7.334935e-01,3.424043e-05,+7.33456400E-01,+7.33485100E-01,+7.33539000E-01
34,5848.035,7.333910e-01,2.662485e-05,+7.33353900E-01,+7.33404200E-01,+7.33415000E-01
35,6169.539,7.332808e-01,2.292950e-05,+7.33310700E-01,+7.33276600E-01,+7.33255000E-01
36,6508.718,7.331208e-01,7.222330e-06,+7.33114900E-01,+7.33131000E-01,+7.33116600E-01
37,6866.544,7.328562e-01,5.878787e-06,+7.32856200E-01,+7.32849000E-01,+7.32863400E-01
38,7244.041,7.327154e-01,6.073060e-06,+7.32707100E-01,+7.32717800E-01,+7.32721400E-01
39,7642.292,7.325537e-01,1.621241e-05,+7.32556100E-01,+7.32572300E-01,+7.32532800E-01
40,8062.438,7.322485e-01,3.854628e-05,+7.32299300E-01,+7.32240100E-01,+7.32206000E-01
41,8505.681,7.320018e-01,1.857855e-05,+7.31976000E-01,+7.32019100E-01,+7.32010200E-01
42,8973.292,7.317808e-01,2.075481e-05,+7.31751500E-01,+7.31794600E-01,+7.31796400E-01
43,9466.611,7.315755e-01,1.143163e-05,+7.31582700E-01,+7.31584500E-01,+7.31559400E-01
44,9987.051,7.313713e-01,3.059387e-06,+7.31367100E-01,+7.31374300E-01,+7.31372500E-01
45,10536.103,7.312324e-01,1.412665e-05,+7.31212700E-01,+7.31239600E-01,+7.31245000E-01
46,11115.339,7.310828e-01,1.750092e-05,+7.31106800E-01,+7.31065500E-01,+7.31076200E-01
47,11726.420,7.308630e-01,1.844999e-05,+7.30884000E-01,+7.30866000E-01,+7.30839100E-01
48,12371.096,7.306925e-01,3.681748e-05,+7.30697300E-01,+7.30645200E-01,+7.30735000E-01
49,13051.214,7.305668e-01,1.245802e-05,+7.30551800E-01,+7.30566200E-01,+7.30582300E-01
50,13768.722,7.304129e-01,2.033721e-05,+7.30440400E-01,+7.30391900E-01,+7.30406300E-01
51,14525.676,7.302626e-01,3.554390e-05,+7.30212300E-01,+7.30287700E-01,+7.30287700E-01
52,15324.245,7.301327e-01,2.580943e-05,+7.30162000E-01,+7.30099200E-01,+7.30136900E-01
53,16166.716,7.307738e-01,2.789420e-05,+7.30738500E-01,+7.30776200E-01,+7.30806700E-01
54,17055.503,7.307857e-01,2.642124e-05,+7.30822800E-01,+7.30763500E-01,+7.30770700E-01
55,17993.153,7.307528e-01,1.632184e-05,+7.30774300E-01,+7.30734800E-01,+7.30749200E-01
56,18982.351,7.307276e-01,3.557427e-05,+7.30677300E-01,+7.30750900E-01,+7.30754500E-01
57,20025.931,7.304439e-01,2.037063e-05,+7.30427700E-01,+7.30472600E-01,+7.30431300E-01
58,21126.884,7.301530e-01,1.161905e-05,+7.30142200E-01,+7.30147600E-01,+7.30169100E-01
59,22288.363,7.298274e-01,8.816011e-06,+7.29826200E-01,+7.29838700E-01,+7.29817200E-01
60,23513.696,7.294796e-01,1.397291e-05,+7.29488600E-01,+7.29459900E-01,+7.29490400E-01
61,24806.394,7.291797e-01,2.578841e-05,+7.29203100E-01,+7.29192300E-01,+7.29143800E-01
62,26170.159,7.288140e-01,3.698641e-06,+7.28809800E-01,+7.28818800E-01,+7.28813400E-01
