index,frequency,average,std-dev,sample-1,sample-2,sample-3
1,1000.000,6.359167e-04,5.405653e-06,+6.37590000E-04,+6.41540000E-04,+6.28620000E-04
2,1054.976,6.396900e-04,9.167119e-06,+6.49280000E-04,+6.42450000E-04,+6.27340000E-04
3,1112.975,6.404700e-04,7.519898e-06,+6.29840000E-04,+6.45510000E-04,+6.46060000E-04
4,1174.162,6.426933e-04,1.148255e-06,+6.41540000E-04,+6.42280000E-04,+6.44260000E-04
5,1238.714,6.512633e-04,1.081172e-05,+6.43900000E-04,+6.66550000E-04,+6.43340000E-04
6,1306.814,6.545100e-04,1.876379e-06,+6.52530000E-04,+6.53970000E-04,+6.57030000E-04
7,1378.657,6.769833e-04,3.695568e-06,+6.74100000E-04,+6.74650000E-04,+6.82200000E-04
8,1454.451,6.902367e-04,6.357050e-06,+6.96410000E-04,+6.81490000E-04,+6.92810000E-04
9,1534.411,7.294567e-04,1.637200e-06,+7.30230000E-04,+7.27180000E-04,+7.30960000E-04
10,1618.768,7.742533e-04,6.578543e-06,+7.65320000E-04,+7.80970000E-04,+7.76470000E-04
11,1707.762,8.377700e-04,3.118846e-06,+8.38910000E-04,+8.40890000E-04,+8.33510000E-04
12,1801.648,9.262900e-04,2.843519e-06,+9.30310000E-04,+9.24190000E-04,+9.24370000E-04
13,1900.696,1.050083e-03,4.774350e-06,+1.05464000E-03,+1.04349000E-03,+1.05212000E-03
14,2005.190,1.210160e-03,7.249828e-07,+1.20974000E-03,+1.21118000E-03,+1.20956000E-03
15,2115.428,1.428060e-03,2.719265e-06,+1.42422000E-03,+1.42980000E-03,+1.43016000E-03
16,2231.726,1.707010e-03,3.084023e-06,+1.70275000E-03,+1.70995000E-03,+1.70833000E-03
17,2354.418,2.068550e-03,4.409082e-07,+2.06909000E-03,+2.06801000E-03,+2.06855000E-03
18,2483.856,2.524130e-03,2.792418e-06,+2.52071000E-03,+2.52755000E-03,+2.52413000E-03
19,2620.409,3.098877e-03,3.610377e-06,+3.10116000E-03,+3.09378000E-03,+3.10169000E-03
20,2764.470,3.821810e-03,2.758695e-06,+3.82481000E-03,+3.81815000E-03,+3.82247000E-03
21,2916.450,4.728380e-03,5.299057e-07,+4.72820000E-03,+4.72910000E-03,+4.72784000E-03
22,3076.786,5.858870e-03,1.449966e-06,+5.85971000E-03,+5.86007000E-03,+5.85683000E-03
23,3245.936,7.267420e-03,8.858894e-07,+7.26628000E-03,+7.26844000E-03,+7.26754000E-03
24,3424.386,9.016980e-03,1.694934e-06,+9.01482000E-03,+9.01896000E-03,+9.01716000E-03
25,3612.646,1.119561e-02,1.469694e-07,+1.11957900E-02,+1.11956100E-02,+1.11954300E-02
26,3811.257,1.389885e-02,6.945502e-07,+1.38985500E-02,+1.38998100E-02,+1.38981900E-02
27,4020.786,1.725806e-02,1.479459e-06,+1.72597400E-02,+1.72561400E-02,+1.72583000E-02
28,4241.834,2.142249e-02,4.489989e-07,+2.14226100E-02,+2.14229700E-02,+2.14218900E-02
29,4475.034,2.658923e-02,1.571496e-06,+2.65875500E-02,+2.65888100E-02,+2.65913300E-02
30,4721.055,3.299209e-02,3.888442e-07,+3.29924500E-02,+3.29915500E-02,+3.29922700E-02
31,4980.602,4.091678e-02,1.202996e-06,+4.09184000E-02,+4.09164200E-02,+4.09155200E-02
32,5254.417,5.072209e-02,1.686542e-06,+5.07220300E-02,+5.07200500E-02,+5.07241800E-02
33,5543.286,6.284161e-02,3.393467e-06,+6.28455000E-02,+6.28420900E-02,+6.28372300E-02
34,5848.035,7.778654e-02,1.890931e-06,+7.77839700E-02,+7.77872000E-02,+7.77884600E-02
35,6169.539,9.616696e-02,2.578841e-06,+9.61705500E-02,+9.61646200E-02,+9.61657000E-02
36,6508.718,1.186889e-01,1.871904e-06,+1.18686900E-01,+1.18688340E-01,+1.18691390E-01
37,6866.544,1.464988e-01,3.597116e-04,+1.46991800E-01,+1.46361100E-01,+1.46143600E-01
38,7244.041,1.791602e-01,5.299056e-06,+1.79167400E-01,+1.79158400E-01,+1.79154800E-01
39,7642.292,2.185971e-01,6.734984e-06,+2.18598900E-01,+2.18604300E-01,+2.18588100E-01
40,8062.438,2.647094e-01,1.227853e-05,+2.64717200E-01,+2.64719000E-01,+2.64692100E-01
41,8505.681,3.171216e-01,4.489986e-06,+3.17120400E-01,+3.17116800E-01,+3.17127600E-01
42,8973.292,3.745161e-01,3.698649e-06,+3.74520900E-01,+3.74511900E-01,+3.74515500E-01
43,9466.611,4.343052e-01,1.098373e-05,+4.34313000E-01,+4.34313000E-01,+4.34289700E-01
44,9987.051,4.927659e-01,8.939799e-06,+4.92758700E-01,+4.92760500E-01,+4.92778500E-01
45,10536.103,5.460479e-01,1.352931e-05,+5.46038300E-01,+5.46038300E-01,+5.46067000E-01
46,11115.339,5.909005e-01,4.963366e-05,+5.90970500E-01,+5.90861000E-01,+5.90870000E-01
47,11726.420,6.257059e-01,3.618852e-05,+6.25717800E-01,+6.25743000E-01,+6.25656800E-01
48,12371.096,6.502869e-01,2.347429e-05,+6.50258200E-01,+6.50286900E-01,+6.50315700E-01
49,13051.214,6.656292e-01,2.367798e-05,+6.65598100E-01,+6.65655500E-01,+6.65634000E-01
50,13768.722,6.728775e-01,1.362212e-05,+6.72872700E-01,+6.72863800E-01,+6.72896100E-01
51,14525.676,6.730547e-01,3.617467e-05,+6.73075700E-01,+6.73084600E-01,+6.73003800E-01
52,15324.245,6.664204e-01,5.253790e-06,+6.66413300E-01,+6.66422200E-01,+6.66425800E-01
53,16166.716,6.534301e-01,1.717680e-05,+6.53445700E-01,+6.53406200E-01,+6.53438500E-01
54,17055.503,6.323822e-01,1.691042e-05,+6.32384000E-01,+6.32360600E-01,+6.32401900E-01
55,17993.153,6.029193e-01,1.773252e-05,+6.02911500E-01,+6.02943800E-01,+6.02902500E-01
56,18982.351,5.646772e-01,1.199509e-05,+5.64673600E-01,+5.64664700E-01,+5.64693400E-01
57,20025.931,5.181565e-01,9.958026e-06,+5.18170200E-01,+5.18152300E-01,+5.18146900E-01
58,21126.884,4.652253e-01,2.743222e-05,+4.65239100E-01,+4.65249800E-01,+4.65187000E-01
59,22288.363,4.087745e-01,1.276567e-05,+4.08792400E-01,+4.08767300E-01,+4.08763700E-01
60,23513.696,3.522690e-01,2.766309e-05,+3.52231900E-01,+3.52276800E-01,+3.52298300E-01
61,24806.394,2.985738e-01,5.253785e-06,+2.98572000E-01,+2.98580900E-01,+2.98568400E-01
62,26170.159,2.497052e-01,4.409081e-06,+2.49699800E-01,+2.49705200E-01,+2.49710600E-01
63,27608.899,2.067549e-01,8.013921e-07,+2.06755500E-01,+2.06755500E-01,+2.06753800E-01
64,29126.736,1.699709e-01,5.564170e-06,+1.69973900E-01,+1.69963100E-01,+1.69975700E-01
65,30728.018,1.391540e-01,1.227853e-05,+1.39136700E-01,+1.39161800E-01,+1.39163600E-01
66,32417.332,1.134461e-01,5.161395e-06,+1.13439500E-01,+1.13452100E-01,+1.13446700E-01
67,34199.519,9.238881e-02,6.675849e-06,+9.23977900E-02,+9.23818000E-02,+9.23868300E-02
68,36079.684,7.502734e-02,1.582284e-06,+7.50287100E-02,+7.50281800E-02,+7.50251200E-02
69,38063.214,6.085880e-02,3.402473e-06,+6.08632300E-02,+6.08549600E-02,+6.08582000E-02
70,40155.790,4.934361e-02,2.286312e-06,+4.93468400E-02,+4.93419900E-02,+4.93419900E-02
71,42363.410,3.998547e-02,1.063203e-06,+3.99861300E-02,+3.99839700E-02,+3.99863100E-02
72,44692.395,3.239609e-02,9.419246e-07,+3.23969200E-02,+3.23965700E-02,+3.23947700E-02
73,47149.421,2.626296e-02,9.785704e-07,+2.62619400E-02,+2.62626600E-02,+2.62642800E-02
74,49741.524,2.127505e-02,3.888444e-07,+2.12745100E-02,+2.12752300E-02,+2.12754100E-02
75,52476.132,1.723744e-02,5.939697e-07,+1.72366600E-02,+1.72375600E-02,+1.72381000E-02
76,55361.079,1.396644e-02,1.671407e-06,+1.39681200E-02,+1.39670400E-02,+1.39641600E-02
77,58404.629,1.132006e-02,1.417321e-06,+1.13180800E-02,+1.13207800E-02,+1.13213200E-02
78,61615.503,9.184190e-03,1.697056e-07,+9.18443000E-03,+9.18407000E-03,+9.18407000E-03
79,65002.899,7.450890e-03,3.394113e-07,+7.45065000E-03,+7.45137000E-03,+7.45065000E-03
80,68576.521,6.047870e-03,2.939388e-07,+6.04823000E-03,+6.04751000E-03,+6.04787000E-03
81,72346.609,4.915110e-03,7.776889e-07,+4.91619000E-03,+4.91439000E-03,+4.91475000E-03
82,76323.962,4.002430e-03,2.278421e-06,+4.00237000E-03,+4.00525000E-03,+3.99967000E-03
83,80519.975,3.264200e-03,1.472141e-06,+3.26432000E-03,+3.26594000E-03,+3.26234000E-03
84,84946.670,2.672490e-03,2.425366e-06,+2.67165000E-03,+2.67579000E-03,+2.67003000E-03
85,89616.729,2.198680e-03,3.627892e-06,+2.19376000E-03,+2.20240000E-03,+2.19988000E-03
86,94543.530,1.813870e-03,2.389477e-06,+1.81159000E-03,+1.81285000E-03,+1.81717000E-03
