index,frequency,average,std-dev,sample-1,sample-2,sample-3
60,38124.790,7.279460e-01,1.783261e-05,+7.27971100E-01,+7.27935200E-01,+7.27931600E-01
61,40551.562,7.278042e-01,6.359410e-06,+7.27800600E-01,+7.27813100E-01,+7.27798800E-01
62,43132.806,7.276970e-01,3.981368e-05,+7.27640700E-01,+7.27723300E-01,+7.27726900E-01
63,45878.355,7.280663e-01,1.028785e-05,+7.28075300E-01,+7.28071700E-01,+7.28051900E-01
64,48798.668,7.279166e-01,1.748720e-05,+7.27892100E-01,+7.27931600E-01,+7.27926200E-01
65,51904.868,7.279113e-01,2.563596e-05,+7.27946000E-01,+7.27902900E-01,+7.27884900E-01
66,55208.788,7.278018e-01,1.647429e-05,+7.27823900E-01,+7.27797000E-01,+7.27784400E-01
67,58723.015,7.277299e-01,1.809426e-05,+7.27735900E-01,+7.27748500E-01,+7.27705400E-01
68,62460.933,7.281136e-01,3.523190e-05,+7.28071700E-01,+7.28111200E-01,+7.28157900E-01
69,66436.783,7.280507e-01,3.518876e-05,+7.28100400E-01,+7.28023200E-01,+7.28028600E-01
70,70665.709,7.280226e-01,1.970691e-05,+7.28012400E-01,+7.28005300E-01,+7.28050200E-01
71,75163.821,7.286828e-01,2.936131e-05,+7.28648100E-01,+7.28680400E-01,+7.28719900E-01
72,79948.252,7.286505e-01,2.177067e-05,+7.28621200E-01,+7.28673300E-01,+7.28657100E-01
73,85037.229,7.286415e-01,2.274384e-05,+7.28669700E-01,+7.28640900E-01,+7.28614000E-01
74,90450.137,7.292449e-01,2.491760e-05,+7.29274800E-01,+7.29213800E-01,+7.29246100E-01
75,96207.594,7.294125e-01,1.028019e-05,+7.29411300E-01,+7.29400500E-01,+7.29425600E-01
76,102331.533,7.296004e-01,1.312564e-05,+7.29610600E-01,+7.29581900E-01,+7.29608800E-01
77,108845.281,7.304091e-01,1.914895e-05,+7.30382700E-01,+7.30416900E-01,+7.30427600E-01
78,115773.652,7.307018e-01,5.161397e-06,+7.30707800E-01,+7.30695200E-01,+7.30702400E-01
79,123143.037,7.316002e-01,3.769362e-05,+7.31584100E-01,+7.31564300E-01,+7.31652300E-01
80,130981.508,7.320988e-01,3.445877e-05,+7.32140700E-01,+7.32099400E-01,+7.32056300E-01
81,139318.924,7.331463e-01,1.669251e-05,+7.33122900E-01,+7.33160700E-01,+7.33155300E-01
82,148187.045,7.341932e-01,1.917191e-05,+7.34182400E-01,+7.34220100E-01,+7.34177000E-01
83,157619.652,7.347917e-01,2.460410e-05,+7.34810900E-01,+7.34807300E-01,+7.34757000E-01
84,167652.677,7.359589e-01,1.232558e-05,+7.35949300E-01,+7.35976300E-01,+7.35951100E-01
85,178324.337,7.371261e-01,6.118837e-06,+7.37134500E-01,+7.37123700E-01,+7.37120100E-01
86,189675.285,7.378665e-01,5.564172e-06,+7.37863500E-01,+7.37861700E-01,+7.37874300E-01
87,201748.758,7.392540e-01,2.625952e-05,+7.39289300E-01,+7.39246200E-01,+7.39226400E-01
88,214590.750,7.405241e-01,2.298884e-05,+7.40546200E-01,+7.40533700E-01,+7.40492400E-01
89,228250.177,7.417086e-01,3.438850e-05,+7.41754700E-01,+7.41699100E-01,+7.41672100E-01
90,242779.074,7.426849e-01,2.254610e-05,+7.42692100E-01,+7.42708200E-01,+7.42654400E-01
91,258232.783,7.437503e-01,1.885105e-05,+7.43733500E-01,+7.43776600E-01,+7.43740700E-01
92,274670.174,7.443949e-01,1.328918e-05,+7.44406900E-01,+7.44401500E-01,+7.44376400E-01
93,292153.860,7.449456e-01,5.878777e-06,+7.44952800E-01,+7.44938400E-01,+7.44945600E-01
94,310750.442,7.455136e-01,2.177067e-05,+7.45484300E-01,+7.45536400E-01,+7.45520200E-01
95,330530.760,7.446230e-01,1.325444e-05,+7.44638600E-01,+7.44606200E-01,+7.44624200E-01
96,351570.161,7.432451e-01,2.693329e-05,+7.43207400E-01,+7.43259500E-01,+7.43268500E-01
97,373948.792,7.412861e-01,7.746118e-06,+7.41275300E-01,+7.41293200E-01,+7.41289700E-01
98,397751.898,7.390816e-01,1.187939e-05,+7.39064800E-01,+7.39090000E-01,+7.39090000E-01
99,423070.153,7.355878e-01,3.076243e-05,+7.35545300E-01,+7.35601000E-01,+7.35617100E-01
100,450000.000,7.310340e-01,1.174574e-05,+7.31020200E-01,+7.31048900E-01,+7.31032800E-01
