index,frequency,average,std-dev,sample-1,sample-2,sample-3
1,1000.000,1.283683e-03,9.778590e-06,+1.28710000E-03,+1.29358000E-03,+1.27037000E-03
2,1062.389,1.292977e-03,8.703081e-06,+1.30491000E-03,+1.28962000E-03,+1.28440000E-03
3,1128.670,1.178960e-03,8.644066e-05,+1.29700000E-03,+1.14747000E-03,+1.09241000E-03
4,1199.086,1.228503e-03,8.434091e-05,+1.10969000E-03,+1.29700000E-03,+1.27882000E-03
5,1273.895,1.286560e-03,1.683390e-05,+1.26821000E-03,+1.28260000E-03,+1.30887000E-03
6,1353.372,1.304553e-03,2.241378e-05,+1.31931000E-03,+1.32147000E-03,+1.27288000E-03
7,1437.807,1.303710e-03,3.511906e-05,+1.32542000E-03,+1.33154000E-03,+1.25417000E-03
8,1527.510,1.339820e-03,1.784063e-05,+1.33766000E-03,+1.31913000E-03,+1.36267000E-03
9,1622.809,1.369390e-03,5.901390e-06,+1.37725000E-03,+1.36789000E-03,+1.36303000E-03
10,1724.054,1.408673e-03,3.441008e-05,+1.36051000E-03,+1.43878000E-03,+1.42673000E-03
11,1831.616,1.455757e-03,3.854987e-05,+1.48610000E-03,+1.40136000E-03,+1.47981000E-03
12,1945.888,1.578290e-03,5.853614e-06,+1.57211000E-03,+1.57661000E-03,+1.58615000E-03
13,2067.289,1.740587e-03,2.851390e-06,+1.74143000E-03,+1.73675000E-03,+1.74358000E-03
14,2196.265,1.941270e-03,1.963657e-05,+1.96328000E-03,+1.91560000E-03,+1.94493000E-03
15,2333.287,2.282293e-03,1.279788e-05,+2.29561000E-03,+2.28625000E-03,+2.26502000E-03
16,2478.857,2.740150e-03,2.835913e-06,+2.74129000E-03,+2.74291000E-03,+2.73625000E-03
17,2633.510,3.345480e-03,3.749880e-06,+3.34080000E-03,+3.34998000E-03,+3.34566000E-03
18,2797.811,4.151660e-03,5.053553e-06,+4.15496000E-03,+4.15550000E-03,+4.14452000E-03
19,2972.363,5.209777e-03,1.812849e-06,+5.20732000E-03,+5.21037000E-03,+5.21164000E-03
20,3157.805,6.576187e-03,5.689185e-06,+6.57775000E-03,+6.58224000E-03,+6.56857000E-03
21,3354.816,8.348200e-03,1.365577e-06,+8.34772000E-03,+8.35006000E-03,+8.34682000E-03
22,3564.118,1.062436e-02,5.245953e-06,+1.06170500E-02,+1.06269400E-02,+1.06291000E-02
23,3786.479,1.354542e-02,1.669251e-06,+1.35439800E-02,+1.35445200E-02,+1.35477600E-02
24,4022.712,1.728360e-02,1.612203e-06,+1.72847400E-02,+1.72847400E-02,+1.72813200E-02
25,4273.684,2.205671e-02,8.094443e-07,+2.20555700E-02,+2.20571900E-02,+2.20573700E-02
26,4540.314,2.814958e-02,1.272792e-06,+2.81486800E-02,+2.81486800E-02,+2.81513800E-02
27,4823.578,3.592466e-02,1.491576e-06,+3.59230400E-02,+3.59243000E-02,+3.59266400E-02
28,5124.514,4.583424e-02,2.630437e-06,+4.58305200E-02,+4.58361000E-02,+4.58361000E-02
29,5444.226,5.843258e-02,1.917191e-06,+5.84309600E-02,+5.84315000E-02,+5.84352700E-02
30,5783.884,7.442943e-02,3.044408e-06,+7.44300900E-02,+7.44254200E-02,+7.44327900E-02
31,6144.733,9.467921e-02,1.083329e-06,+9.46787300E-02,+9.46781900E-02,+9.46807100E-02
32,6528.095,1.206948e-01,4.349350e-04,+1.21291500E-01,+1.20525900E-01,+1.20267100E-01
