index,frequency,average,std-dev,sample-1,sample-2,sample-3
1,1000.000,7.245407e-01,1.396853e-05,+7.24541300E-01,+7.24523300E-01,+7.24557500E-01
2,1059.306,7.253866e-01,5.299044e-06,+7.25379400E-01,+7.25392000E-01,+7.25388400E-01
3,1122.129,7.262018e-01,2.052906e-05,+7.26173100E-01,+7.26212600E-01,+7.26219800E-01
4,1188.678,7.269612e-01,1.621241e-05,+7.26979800E-01,+7.26963600E-01,+7.26940300E-01
5,1259.174,7.277053e-01,5.895947e-06,+7.27704100E-01,+7.27713000E-01,+7.27698700E-01
6,1333.850,7.284024e-01,1.325444e-05,+7.28385600E-01,+7.28418000E-01,+7.28403600E-01
7,1412.956,7.289789e-01,2.550847e-05,+7.29002900E-01,+7.28990300E-01,+7.28943600E-01
8,1496.752,7.294725e-01,1.039049e-05,+7.29474900E-01,+7.29458700E-01,+7.29483800E-01
9,1585.519,7.299932e-01,1.249960e-05,+7.30004600E-01,+7.29975800E-01,+7.29999200E-01
10,1679.550,7.305345e-01,1.401998e-05,+7.30550700E-01,+7.30536300E-01,+7.30516500E-01
11,1779.157,7.310101e-01,2.206359e-05,+7.30996300E-01,+7.30992700E-01,+7.31041200E-01
12,1884.672,7.314840e-01,1.138253e-05,+7.31479800E-01,+7.31472700E-01,+7.31499600E-01
13,1996.444,7.318546e-01,1.651908e-05,+7.31832400E-01,+7.31859400E-01,+7.31872000E-01
14,2114.845,7.322055e-01,5.939706e-06,+7.32206700E-01,+7.32197700E-01,+7.32212100E-01
15,2240.268,7.325337e-01,2.274296e-05,+7.32534300E-01,+7.32561300E-01,+7.32505600E-01
16,2373.129,7.329071e-01,2.190073e-05,+7.32887300E-01,+7.32896300E-01,+7.32937600E-01
17,2513.870,7.331476e-01,1.108162e-05,+7.33138000E-01,+7.33163100E-01,+7.33141600E-01
18,2662.958,7.332863e-01,5.091184e-06,+7.33282700E-01,+7.33282700E-01,+7.33293500E-01
19,2820.887,7.334030e-01,8.311576e-06,+7.33406000E-01,+7.33411400E-01,+7.33391700E-01
20,2988.182,7.334738e-01,1.487959e-05,+7.33493600E-01,+7.33457700E-01,+7.33470200E-01
21,3165.400,7.335666e-01,1.917191e-05,+7.33539700E-01,+7.33582800E-01,+7.33577400E-01
22,3353.127,7.336477e-01,8.485279e-06,+7.33659700E-01,+7.33641700E-01,+7.33641700E-01
23,3551.987,7.336778e-01,2.723246e-05,+7.33714900E-01,+7.33668200E-01,+7.33650300E-01
24,3762.641,7.336273e-01,1.060576e-05,+7.33612300E-01,+7.33633900E-01,+7.33635600E-01
25,3985.788,7.336263e-01,2.052906e-05,+7.33644300E-01,+7.33637100E-01,+7.33597600E-01
26,4222.170,7.334668e-01,1.503870e-05,+7.33482400E-01,+7.33471600E-01,+7.33446500E-01
27,4472.569,7.334475e-01,2.196730e-05,+7.33455300E-01,+7.33417600E-01,+7.33469700E-01
28,4737.820,7.333742e-01,2.160283e-05,+7.33390400E-01,+7.33388600E-01,+7.33343700E-01
29,5018.801,7.332699e-01,1.166534e-05,+7.33275300E-01,+7.33280700E-01,+7.33253700E-01
30,5316.446,7.331590e-01,6.118828e-06,+7.33167400E-01,+7.33153000E-01,+7.33156600E-01
31,5631.743,7.330212e-01,2.642125e-05,+7.33043400E-01,+7.33036200E-01,+7.32984100E-01
32,5965.739,7.328941e-01,1.522637e-05,+7.32872600E-01,+7.32904900E-01,+7.32904900E-01
33,6319.543,7.328252e-01,3.165638e-05,+7.32784500E-01,+7.32861700E-01,+7.32829400E-01
34,6694.330,7.326522e-01,6.073069e-06,+7.32649800E-01,+7.32660500E-01,+7.32646200E-01
35,7091.343,7.324755e-01,3.674897e-05,+7.32432400E-01,+7.32471900E-01,+7.32522200E-01
36,7511.902,7.322988e-01,4.489975e-06,+7.32304800E-01,+7.32294000E-01,+7.32297600E-01
37,7957.403,7.320797e-01,2.621009e-05,+7.32098200E-01,+7.32098200E-01,+7.32042600E-01
38,8429.325,7.318276e-01,5.161408e-06,+7.31821600E-01,+7.31827000E-01,+7.31834200E-01
39,8929.234,7.316060e-01,2.450474e-05,+7.31573700E-01,+7.31611400E-01,+7.31633000E-01
40,9458.791,7.314402e-01,1.475134e-05,+7.31457000E-01,+7.31421100E-01,+7.31442600E-01
41,10019.754,7.312582e-01,2.075481e-05,+7.31272000E-01,+7.31273800E-01,+7.31228900E-01
42,10613.986,7.310475e-01,1.306293e-05,+7.31052900E-01,+7.31060100E-01,+7.31029500E-01
43,11243.459,7.307721e-01,2.339150e-05,+7.30758300E-01,+7.30805000E-01,+7.30752900E-01
44,11910.263,7.304740e-01,1.389100e-05,+7.30454800E-01,+7.30480000E-01,+7.30487200E-01
45,12616.613,7.303345e-01,2.830418e-05,+7.30365000E-01,+7.30296800E-01,+7.30341700E-01
46,13364.854,7.303051e-01,1.614194e-05,+7.30282400E-01,+7.30314700E-01,+7.30318300E-01
47,14157.469,7.301920e-01,1.232558e-05,+7.30201600E-01,+7.30199800E-01,+7.30174600E-01
48,14997.092,7.301908e-01,8.182909e-06,+7.30201600E-01,+7.30189000E-01,+7.30181800E-01
49,15886.510,7.306577e-01,1.612582e-05,+7.30637900E-01,+7.30657700E-01,+7.30677400E-01
50,16828.675,7.306187e-01,1.028019e-05,+7.30630700E-01,+7.30619900E-01,+7.30605600E-01
51,17826.716,7.305301e-01,2.305129e-05,+7.30517500E-01,+7.30562400E-01,+7.30510300E-01
52,18883.947,7.304253e-01,1.108162e-05,+7.30434900E-01,+7.30431300E-01,+7.30409800E-01
53,20003.878,7.301009e-01,3.078777e-05,+7.30144000E-01,+7.30084700E-01,+7.30074000E-01
54,21190.228,7.296993e-01,2.321815e-05,+7.29723800E-01,+7.29705900E-01,+7.29668100E-01
55,22446.935,7.293551e-01,5.161408e-06,+7.29361100E-01,+7.29355700E-01,+7.29348500E-01
56,23778.173,7.289708e-01,5.352285e-05,+7.29036100E-01,+7.28905000E-01,+7.28971400E-01
57,25188.361,7.287188e-01,2.206360e-05,+7.28736200E-01,+7.28732600E-01,+7.28687700E-01
