index,frequency,average,std-dev,sample-1,sample-2,sample-3
60,38124.790,6.408741e-01,1.952440e-05,+6.40862100E-01,+6.40901600E-01,+6.40858500E-01
61,40551.562,6.064901e-01,2.785546e-05,+6.06524800E-01,+6.06456600E-01,+6.06488900E-01
62,43132.806,5.611749e-01,9.132479e-06,+5.61183900E-01,+5.61178500E-01,+5.61162400E-01
63,45878.355,5.058021e-01,3.356430e-05,+5.05848800E-01,+5.05785900E-01,+5.05771500E-01
64,48798.668,4.426673e-01,2.795866e-05,+4.42703200E-01,+4.42635000E-01,+4.42663700E-01
65,51904.868,3.769452e-01,7.249828e-06,+3.76951200E-01,+3.76949400E-01,+3.76935000E-01
66,55208.788,3.134036e-01,1.032279e-05,+3.13390400E-01,+3.13415600E-01,+3.13404800E-01
67,58723.015,2.557830e-01,1.000400e-05,+2.55769200E-01,+2.55787200E-01,+2.55792600E-01
68,62460.933,2.060835e-01,2.939386e-06,+2.06079900E-01,+2.06087100E-01,+2.06083500E-01
69,66436.783,1.644223e-01,7.359499e-06,+1.64421100E-01,+1.64414000E-01,+1.64431900E-01
70,70665.709,1.303686e-01,2.545585e-06,+1.30365000E-01,+1.30370400E-01,+1.30370400E-01
71,75163.821,1.032920e-01,6.679348e-06,+1.03299020E-01,+1.03293980E-01,+1.03283020E-01
72,79948.252,8.142591e-02,3.451959e-06,+8.14300500E-02,+8.14260900E-02,+8.14216000E-02
73,85037.229,6.411337e-02,1.991588e-06,+6.41136700E-02,+6.41156400E-02,+6.41107900E-02
74,90450.137,5.049838e-02,3.190427e-06,+5.04948500E-02,+5.04977200E-02,+5.05025800E-02
75,96207.594,3.972976e-02,1.508377e-06,+3.97277200E-02,+3.97313200E-02,+3.97302400E-02
76,102331.533,3.126404e-02,1.389100e-06,+3.12653600E-02,+3.12621200E-02,+3.12646400E-02
77,108845.281,2.463794e-02,2.244994e-06,+2.46385400E-02,+2.46403400E-02,+2.46349400E-02
78,115773.652,1.941505e-02,4.754030e-06,+1.94169700E-02,+1.94085100E-02,+1.94196700E-02
79,123143.037,1.533030e-02,2.389477e-06,+1.53270000E-02,+1.53313200E-02,+1.53325800E-02
80,130981.508,1.211502e-02,7.787453e-06,+1.21040500E-02,+1.21197000E-02,+1.21213200E-02
81,139318.924,9.610990e-03,2.753471e-06,+9.60721000E-03,+9.61369000E-03,+9.61207000E-03
82,148187.045,7.651493e-03,6.200034e-06,+7.65683000E-03,+7.65485000E-03,+7.64280000E-03
83,157619.652,6.114313e-03,7.305944e-06,+6.11893000E-03,+6.12001000E-03,+6.10400000E-03
84,167652.677,4.931780e-03,4.157788e-06,+4.93040000E-03,+4.92752000E-03,+4.93742000E-03
85,178324.337,4.005967e-03,8.471483e-06,+4.00957000E-03,+4.01406000E-03,+3.99427000E-03
86,189675.285,3.291550e-03,3.224407e-06,+3.29023000E-03,+3.28843000E-03,+3.29599000E-03
87,201748.758,2.727543e-03,1.519258e-05,+2.70655000E-03,+2.74200000E-03,+2.73408000E-03
88,214590.750,2.302977e-03,8.230214e-06,+2.29272000E-03,+2.31287000E-03,+2.30334000E-03
89,228250.177,1.965373e-03,3.539658e-05,+2.00214000E-03,+1.97641000E-03,+1.91757000E-03
90,242779.074,1.784187e-03,3.953564e-05,+1.72919000E-03,+1.80296000E-03,+1.82041000E-03
91,258232.783,1.691043e-03,1.016813e-05,+1.67683000E-03,+1.69626000E-03,+1.70004000E-03
92,274670.174,1.632623e-03,2.528601e-05,+1.62357000E-03,+1.60719000E-03,+1.66711000E-03
93,292153.860,1.572467e-03,1.466821e-05,+1.59208000E-03,+1.55681000E-03,+1.56851000E-03
94,310750.442,1.500497e-03,4.881116e-05,+1.54548000E-03,+1.52335000E-03,+1.43266000E-03
95,330530.760,1.535283e-03,1.237677e-05,+1.52083000E-03,+1.53396000E-03,+1.55106000E-03
96,351570.161,1.502173e-03,2.458440e-05,+1.47099000E-03,+1.53108000E-03,+1.50445000E-03
97,373948.792,1.426363e-03,6.620859e-05,+1.34396000E-03,+1.42906000E-03,+1.50607000E-03
98,397751.898,1.483283e-03,9.987413e-06,+1.48952000E-03,+1.49114000E-03,+1.46919000E-03
99,423070.153,1.486223e-03,8.108392e-06,+1.48340000E-03,+1.49726000E-03,+1.47801000E-03
100,450000.000,1.451197e-03,1.165128e-05,+1.45264000E-03,+1.46469000E-03,+1.43626000E-03
