index,frequency,average,std-dev,sample-1,sample-2,sample-3
1,1000.000,9.500300e-04,7.116010e-06,+9.54230000E-04,+9.55850000E-04,+9.40010000E-04
2,1059.306,9.617833e-04,1.231209e-05,+9.45410000E-04,+9.75100000E-04,+9.64840000E-04
3,1122.129,9.515900e-04,9.776871e-06,+9.56030000E-04,+9.60710000E-04,+9.38030000E-04
4,1188.678,9.575900e-04,2.082444e-05,+9.53690000E-04,+9.34260000E-04,+9.84820000E-04
5,1259.174,9.565067e-04,2.647894e-05,+9.20220000E-04,+9.66640000E-04,+9.82660000E-04
6,1333.850,9.792400e-04,1.417321e-06,+9.81220000E-04,+9.78520000E-04,+9.77980000E-04
7,1412.956,9.856600e-04,1.918124e-06,+9.87520000E-04,+9.86440000E-04,+9.83020000E-04
8,1496.752,9.989733e-04,1.147828e-05,+1.00227000E-03,+9.83560000E-04,+1.01109000E-03
9,1585.519,1.028660e-03,1.145325e-05,+1.04437000E-03,+1.01739000E-03,+1.02422000E-03
10,1679.550,1.072327e-03,1.599981e-05,+1.06633000E-03,+1.05643000E-03,+1.09422000E-03
11,1779.157,1.145677e-03,4.705701e-06,+1.14532000E-03,+1.15161000E-03,+1.14010000E-03
12,1884.672,1.255197e-03,6.682277e-06,+1.26191000E-03,+1.24608000E-03,+1.25760000E-03
13,1996.444,1.396567e-03,8.115049e-06,+1.39021000E-03,+1.39147000E-03,+1.40802000E-03
14,2114.845,1.598143e-03,5.048844e-06,+1.60144000E-03,+1.59101000E-03,+1.60198000E-03
15,2240.268,1.876620e-03,3.027474e-06,+1.87242000E-03,+1.87800000E-03,+1.87944000E-03
16,2373.129,2.239360e-03,2.166656e-06,+2.23840000E-03,+2.24236000E-03,+2.23732000E-03
17,2513.870,2.731940e-03,7.776889e-07,+2.73122000E-03,+2.73302000E-03,+2.73158000E-03
18,2662.958,3.365163e-03,7.937533e-06,+3.35395000E-03,+3.37032000E-03,+3.37122000E-03
19,2820.887,4.190350e-03,7.249828e-07,+4.19095000E-03,+4.18933000E-03,+4.19077000E-03
20,2988.182,5.248463e-03,1.314695e-06,+5.24745000E-03,+5.25032000E-03,+5.24762000E-03
21,3165.400,6.590580e-03,1.178813e-06,+6.59196000E-03,+6.59070000E-03,+6.58908000E-03
22,3353.127,8.292790e-03,3.721935e-06,+8.29195000E-03,+8.29771000E-03,+8.28871000E-03
23,3551.987,1.045430e-02,2.443113e-06,+1.04538800E-02,+1.04515400E-02,+1.04574800E-02
24,3762.641,1.318629e-02,3.282746e-06,+1.31890500E-02,+1.31881500E-02,+1.31816800E-02
25,3985.788,1.663968e-02,2.057571e-06,+1.66368000E-02,+1.66407600E-02,+1.66414800E-02
26,4222.170,2.100069e-02,1.716042e-06,+2.10029700E-02,+2.10002700E-02,+2.09988300E-02
27,4472.569,2.650242e-02,1.508377e-06,+2.65044600E-02,+2.65019400E-02,+2.65008600E-02
28,4737.820,3.342526e-02,1.722324e-06,+3.34276600E-02,+3.34244200E-02,+3.34237000E-02
29,5018.801,4.215398e-02,1.284056e-06,+4.21535600E-02,+4.21526600E-02,+4.21557200E-02
30,5316.446,5.313299e-02,7.249827e-07,+5.31319700E-02,+5.31334100E-02,+5.31335900E-02
31,5631.743,6.692231e-02,1.083328e-06,+6.69208100E-02,+6.69227900E-02,+6.69233300E-02
32,5965.739,8.420054e-02,1.325444e-06,+8.42004200E-02,+8.41989800E-02,+8.42022200E-02
33,6319.543,1.057794e-01,5.139269e-06,+1.05786270E-01,+1.05773870E-01,+1.05778190E-01
34,6694.330,1.330075e-01,3.892539e-04,+1.33540700E-01,+1.32859600E-01,+1.32622300E-01
35,7091.343,1.655241e-01,9.562426e-06,+1.65535500E-01,+1.65524700E-01,+1.65512100E-01
36,7511.902,2.056578e-01,7.348470e-06,+2.05648800E-01,+2.05657800E-01,+2.05666800E-01
37,7957.403,2.535439e-01,8.438141e-06,+2.53537900E-01,+2.53537900E-01,+2.53555800E-01
38,8429.325,3.090932e-01,9.178235e-06,+3.09105800E-01,+3.09089600E-01,+3.09084200E-01
39,8929.234,3.708525e-01,1.109595e-05,+3.70866900E-01,+3.70850700E-01,+3.70839900E-01
40,9458.791,4.359513e-01,7.746112e-06,+4.35940500E-01,+4.35958400E-01,+4.35954900E-01
41,10019.754,4.999307e-01,1.487152e-05,+4.99934300E-01,+4.99911000E-01,+4.99946900E-01
42,10613.986,5.580047e-01,1.245963e-05,+5.57989100E-01,+5.58005300E-01,+5.58019600E-01
43,11243.459,6.064143e-01,2.298884e-05,+6.06392200E-01,+6.06404700E-01,+6.06446000E-01
44,11910.263,6.437166e-01,1.227853e-05,+6.43733900E-01,+6.43708800E-01,+6.43707000E-01
45,12616.613,6.704084e-01,3.906311e-05,+6.70367700E-01,+6.70396400E-01,+6.70461100E-01
46,13364.854,6.882356e-01,2.607992e-05,+6.88271500E-01,+6.88224800E-01,+6.88210400E-01
47,14157.469,6.993471e-01,1.328918e-05,+6.99335100E-01,+6.99365600E-01,+6.99340500E-01
48,14997.092,7.057165e-01,3.295826e-05,+7.05751200E-01,+7.05726100E-01,+7.05672200E-01
49,15886.510,7.094384e-01,2.245178e-05,+7.09459400E-01,+7.09407300E-01,+7.09448600E-01
50,16828.675,7.101669e-01,8.182915e-06,+7.10177700E-01,+7.10165100E-01,+7.10157900E-01
