index,frequency,average,std-dev,sample-1,sample-2,sample-3
1,1000.000,1.086537e-03,2.486707e-05,+1.11113000E-03,+1.05247000E-03,+1.09601000E-03
2,1060.957,1.119223e-03,9.439217e-06,+1.10609000E-03,+1.12372000E-03,+1.12786000E-03
3,1125.629,1.129600e-03,7.780129e-06,+1.12264000E-03,+1.14046000E-03,+1.12570000E-03
4,1194.244,1.115383e-03,1.518559e-05,+1.09493000E-03,+1.13128000E-03,+1.11994000E-03
5,1267.041,1.113947e-03,3.316480e-05,+1.06722000E-03,+1.14082000E-03,+1.13380000E-03
6,1344.276,1.136433e-03,1.232088e-05,+1.14603000E-03,+1.11904000E-03,+1.14423000E-03
7,1426.218,1.125223e-03,2.580623e-05,+1.08882000E-03,+1.14118000E-03,+1.14567000E-03
8,1513.156,1.165767e-03,6.989050e-06,+1.17518000E-03,+1.15845000E-03,+1.16367000E-03
9,1605.393,1.204273e-03,9.356496e-06,+1.21621000E-03,+1.20325000E-03,+1.19336000E-03
10,1703.252,1.244817e-03,1.123763e-05,+1.24302000E-03,+1.23204000E-03,+1.25939000E-03
11,1807.077,1.316070e-03,1.272321e-05,+1.29952000E-03,+1.31823000E-03,+1.33046000E-03
12,1917.230,1.408373e-03,9.286960e-06,+1.41485000E-03,+1.41503000E-03,+1.39524000E-03
13,2034.098,1.569473e-03,6.472559e-06,+1.56042000E-03,+1.57517000E-03,+1.57283000E-03
14,2158.090,1.787490e-03,1.921874e-06,+1.78479000E-03,+1.78857000E-03,+1.78911000E-03
15,2289.640,2.081973e-03,2.629833e-06,+2.07826000E-03,+2.08401000E-03,+2.08365000E-03
16,2429.209,2.499590e-03,7.422075e-06,+2.48921000E-03,+2.50343000E-03,+2.50613000E-03
17,2577.285,3.042370e-03,2.425366e-06,+3.04537000E-03,+3.03943000E-03,+3.04231000E-03
18,2734.388,3.757697e-03,1.150593e-05,+3.74151000E-03,+3.76723000E-03,+3.76435000E-03
19,2901.067,4.699587e-03,4.523143e-06,+4.70552000E-03,+4.69455000E-03,+4.69869000E-03
20,3077.907,5.920993e-03,4.606389e-06,+5.92519000E-03,+5.91458000E-03,+5.92321000E-03
21,3265.526,7.481990e-03,1.447481e-06,+7.48253000E-03,+7.48343000E-03,+7.48001000E-03
22,3464.582,9.471360e-03,1.984540e-06,+9.47142000E-03,+9.47376000E-03,+9.46890000E-03
23,3675.771,1.201409e-02,2.866217e-06,+1.20175700E-02,+1.20105500E-02,+1.20141500E-02
24,3899.834,1.524826e-02,1.401999e-06,+1.52484400E-02,+1.52464600E-02,+1.52498800E-02
25,4137.555,1.935749e-02,7.776889e-07,+1.93564100E-02,+1.93578500E-02,+1.93582100E-02
26,4389.767,2.457535e-02,2.056021e-06,+2.45781700E-02,+2.45733200E-02,+2.45745700E-02
27,4657.352,3.120093e-02,1.472141e-06,+3.12015900E-02,+3.12023100E-02,+3.11988900E-02
28,4941.249,3.959282e-02,3.902105e-06,+3.95978000E-02,+3.95924000E-02,+3.95882700E-02
29,5242.451,5.023136e-02,9.178232e-07,+5.02317200E-02,+5.02322600E-02,+5.02301000E-02
30,5562.014,6.366783e-02,2.769842e-06,+6.36648900E-02,+6.36670500E-02,+6.36715400E-02
31,5901.056,8.063297e-02,1.389101e-06,+8.06335700E-02,+8.06310500E-02,+8.06342900E-02
32,6260.764,1.019587e-01,2.306170e-06,+1.01956200E-01,+1.01958170E-01,+1.01961770E-01
33,6642.400,1.290964e-01,4.137857e-04,+1.29664300E-01,+1.28934700E-01,+1.28690200E-01
34,7047.299,1.616875e-01,3.394113e-06,+1.61682700E-01,+1.61689900E-01,+1.61689900E-01
35,7476.879,2.022347e-01,6.734983e-06,+2.02243700E-01,+2.02227500E-01,+2.02232900E-01
36,7932.645,2.509398e-01,1.055283e-05,+2.50929000E-01,+2.50936200E-01,+2.50954100E-01
37,8416.192,3.078098e-01,3.059412e-06,+3.07814000E-01,+3.07808600E-01,+3.07806800E-01
38,8929.216,3.713232e-01,9.637429e-06,+3.71321400E-01,+3.71312400E-01,+3.71335800E-01
39,9473.511,4.383882e-01,2.001805e-05,+4.38392400E-01,+4.38410400E-01,+4.38361900E-01
40,10050.985,5.041930e-01,1.109595e-05,+5.04194800E-01,+5.04178600E-01,+5.04205600E-01
41,10663.660,5.635196e-01,5.802465e-05,+5.63481300E-01,+5.63475900E-01,+5.63601600E-01
42,11313.681,6.125773e-01,2.302274e-05,+6.12545000E-01,+6.12597000E-01,+6.12589900E-01
43,12003.326,6.497949e-01,1.529713e-05,+6.49785900E-01,+6.49782300E-01,+6.49816400E-01
44,12735.009,6.760843e-01,6.118823e-06,+6.76078300E-01,+6.76092700E-01,+6.76081900E-01
45,13511.293,6.934600e-01,3.253132e-05,+6.93504300E-01,+6.93448600E-01,+6.93427100E-01
46,14334.897,7.044110e-01,2.292951e-05,+7.04381100E-01,+7.04415200E-01,+7.04436800E-01
47,15208.705,7.108445e-01,1.614690e-05,+7.10824200E-01,+7.10845700E-01,+7.10863700E-01
48,16135.777,7.148118e-01,2.584496e-05,+7.14776500E-01,+7.14821400E-01,+7.14837600E-01
