index,frequency,average,std-dev,sample-1,sample-2,sample-3
1,1000.000,6.295367e-04,8.119267e-06,+6.35790000E-04,+6.34750000E-04,+6.18070000E-04
2,1054.976,6.305367e-04,1.244473e-05,+6.42990000E-04,+6.35080000E-04,+6.13540000E-04
3,1112.975,6.404700e-04,7.700615e-06,+6.30950000E-04,+6.49810000E-04,+6.40650000E-04
4,1174.162,6.405433e-04,9.817336e-06,+6.36890000E-04,+6.30770000E-04,+6.53970000E-04
5,1238.714,6.455800e-04,6.960709e-06,+6.49500000E-04,+6.35800000E-04,+6.51440000E-04
6,1306.814,6.583267e-04,9.360023e-06,+6.65820000E-04,+6.45130000E-04,+6.64030000E-04
7,1378.657,6.664333e-04,4.106209e-06,+6.67990000E-04,+6.70500000E-04,+6.60810000E-04
8,1454.451,6.932967e-04,6.607331e-06,+6.84000000E-04,+6.98760000E-04,+6.97130000E-04
9,1534.411,7.234067e-04,2.802503e-06,+7.27370000E-04,+7.21430000E-04,+7.21420000E-04
10,1618.768,7.656233e-04,1.875213e-06,+7.66760000E-04,+7.67130000E-04,+7.62980000E-04
11,1707.762,8.329133e-04,4.478663e-06,+8.38370000E-04,+8.32970000E-04,+8.27400000E-04
12,1801.648,9.181333e-04,1.410866e-05,+9.22210000E-04,+8.99180000E-04,+9.33010000E-04
13,1900.696,1.044323e-03,3.023181e-06,+1.04474000E-03,+1.04780000E-03,+1.04043000E-03
14,2005.190,1.213520e-03,4.455379e-06,+1.21658000E-03,+1.21676000E-03,+1.20722000E-03
15,2115.428,1.425960e-03,3.002399e-06,+1.42440000E-03,+1.42332000E-03,+1.43016000E-03
16,2231.726,1.704370e-03,3.203123e-06,+1.70257000E-03,+1.70887000E-03,+1.70167000E-03
17,2354.418,2.059137e-03,2.592686e-06,+2.05704000E-03,+2.06279000E-03,+2.05758000E-03
18,2483.856,2.515553e-03,2.773594e-06,+2.51675000E-03,+2.51819000E-03,+2.51172000E-03
19,2620.409,3.088440e-03,1.697056e-07,+3.08856000E-03,+3.08820000E-03,+3.08856000E-03
20,2764.470,3.811320e-03,1.921874e-06,+3.81294000E-03,+3.80862000E-03,+3.81240000E-03
21,2916.450,4.711170e-03,2.425366e-06,+4.71111000E-03,+4.70823000E-03,+4.71417000E-03
22,3076.786,5.836800e-03,2.006190e-06,+5.83902000E-03,+5.83722000E-03,+5.83416000E-03
23,3245.936,7.240910e-03,5.878775e-07,+7.24019000E-03,+7.24163000E-03,+7.24091000E-03
24,3424.386,8.988730e-03,1.589717e-06,+8.99035000E-03,+8.98657000E-03,+8.98927000E-03
25,3612.646,1.115891e-02,1.109595e-06,+1.11601700E-02,+1.11574700E-02,+1.11590900E-02
26,3811.257,1.385741e-02,1.174573e-06,+1.38575300E-02,+1.38559200E-02,+1.38587900E-02
27,4020.786,1.720589e-02,1.567043e-06,+1.72038000E-02,+1.72075700E-02,+1.72063100E-02
28,4241.834,2.136349e-02,8.979977e-07,+2.13632500E-02,+2.13625300E-02,+2.13646900E-02
29,4475.034,2.651741e-02,1.732743e-06,+2.65192100E-02,+2.65179500E-02,+2.65150700E-02
30,4721.055,3.290427e-02,5.939701e-07,+3.29036100E-02,+3.29050500E-02,+3.29041500E-02
31,4980.602,4.081128e-02,2.147934e-06,+4.08141000E-02,+4.08088900E-02,+4.08108600E-02
32,5254.417,5.058970e-02,9.637429e-07,+5.05895200E-02,+5.05909600E-02,+5.05886200E-02
33,5543.286,6.267460e-02,7.249842e-07,+6.26741800E-02,+6.26740000E-02,+6.26756200E-02
34,5848.035,7.757918e-02,3.139431e-06,+7.75758300E-02,+7.75783400E-02,+7.75833800E-02
