source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,lum_val,radius_val
4068687017146246784,267.83575450574483,1.2802695244836246,-23.235956588165763,2.132531203059798,196.210841003653,2.451580973815495,20.63085,,,,NOT_AVAILABLE,,,,
4093904007017644288,272.81348905289326,1.8177322762721975,-21.046524739892117,1.6702676651552377,196.23783532050487,2.3360685509421915,20.245224,,,,NOT_AVAILABLE,,,,
4107712532987181824,258.790259543416,1.535510985509514,-28.37869108550535,2.452626855755377,196.31093256022598,3.2632959878825116,20.368406,,,,NOT_AVAILABLE,,,,
4050980305957680768,272.7830915053513,1.0579229015196239,-27.542383754291343,0.9164307659029978,196.32756550876627,1.1604345529368043,19.315073,1.3618851,,,NOT_AVAILABLE,,,,
4039980108495579904,267.84679681944834,1.0819820934356892,-37.0056600765312,1.0978882699032684,196.43191368239445,1.6720190030499646,19.581942,,,,NOT_AVAILABLE,,,,
4143644676070261504,269.8754691297234,1.8493262674422737,-18.121052257915622,1.3914900661134273,197.0732246551869,1.9261309926520607,20.215736,,,,NOT_AVAILABLE,,,,
4051964613516187008,276.3091350021334,0.8295613597588402,-26.889293180084177,0.6442309310681332,197.1360927061374,1.1639659041152615,19.278322,,,,NOT_AVAILABLE,,,,
4059161157528834176,259.62323970528354,1.2651677558855714,-30.413146687929927,1.1554214333417072,197.32206177757047,2.119491799579766,19.643599,,,,NOT_AVAILABLE,,,,
4062325135532259328,269.61300112062816,0.7383398758920982,-29.396432364384125,0.9655879973712083,197.39510113029272,1.3430439662155698,18.911509,,,,NOT_AVAILABLE,,,,
1934263333784036736,341.70296260284204,0.030883959800758767,44.33201708254704,0.02937476461958738,198.0112096934385,0.03802223753392052,9.000006,2.734511,,,NOT_AVAILABLE,3742.19,,,
4048722772158717056,278.36471216019186,0.9566912447936478,-27.55919860911156,1.2704919995805888,198.0351776754029,1.5167607890751225,19.68398,0.86182976,,,NOT_AVAILABLE,,,,
4042280802181762944,269.16587663186783,1.641617957024529,-34.643164563777034,1.1358468690523722,198.51784607799468,1.4342629742385622,19.660475,,,,NOT_AVAILABLE,,,,
3195919528988725120,63.808266649303654,0.33634098301385473,-7.667602659604186,0.21597820245428237,198.56566330273023,0.5101344879433105,4.107055,1.0308747,-42.621134765647426,0.4151377062998484,NOT_AVAILABLE,5196.0,0.1603,0.4572952,0.8344737
4049233766001140608,272.45443369974186,1.0027915324503778,-30.868055522040535,0.8826925649101137,198.81414596709158,1.185503494273937,19.52615,,,,NOT_AVAILABLE,,,,
5978470751033864064,255.80503505996222,1.188020135509179,-33.470715169355145,0.7748513285573039,198.8847075451604,1.3805721569181548,19.804728,,,,NOT_AVAILABLE,,,,
4040459632984476800,269.3662987854495,1.0480925175970222,-35.97502936021979,0.8991510440621586,199.19176653389002,1.8444963043093527,19.595272,1.3258648,,,NOT_AVAILABLE,,,,
4049014589446873216,273.34085201121815,1.018778035299639,-30.865193670070358,1.0797777437549467,199.39525198101452,1.3755490260400884,19.616383,,,,NOT_AVAILABLE,,,,
3195919322830293760,63.829970523563674,0.8570417505155452,-7.670429685310045,0.2232634906344995,199.45515379196507,0.32042890177604105,9.760605,2.9915628,,,NOT_AVAILABLE,3566.78,0.3783,,
4076958058980236544,276.75325256337146,1.7005363930436461,-25.417889348229235,1.6486661515567527,199.68808909980544,2.2791367172110957,20.060696,,,,NOT_AVAILABLE,,,,
5955305209191546112,264.2610245058087,0.09685057749335065,-44.32325190884921,0.07675918080521889,199.7031040708767,0.08322918485974622,9.570247,2.88727,,,NOT_AVAILABLE,3729.0,0.2192,,
4050820915245640832,272.3225369241922,1.1018686834643077,-28.420873807408174,1.264810508036722,200.02609332672836,1.6752013460658146,19.752783,,,,NOT_AVAILABLE,,,,
4052563950372670976,274.1627658550878,1.0833402446847076,-26.831114537005217,0.8459291277106029,200.08269914859503,1.1626783516899906,19.674631,,,,NOT_AVAILABLE,,,,
4041992627059150720,270.3128085427641,1.5249534986251536,-35.3065888640922,0.8922957199000164,200.31963106493254,1.7342732178284286,20.050894,,,,NOT_AVAILABLE,,,,
4040216400441508608,267.59275174766555,1.6150070134330559,-36.21622707269694,1.4198323475331915,200.7716234463817,1.4527945864801461,20.072638,1.4662838,,,NOT_AVAILABLE,,,,
5835429854428605696,243.0609023170606,0.997331592913883,-56.84057892081424,0.48629753702179007,200.78550389258777,1.1654956029837182,19.215458,,,,NOT_AVAILABLE,,,,
4120459274429224960,267.7072669416588,2.4594433598084713,-18.082275199876786,2.2660061566048877,200.94558957924406,2.2474333626982292,20.679247,,,,NOT_AVAILABLE,,,,
4042289834550547072,269.2610739495649,1.2485601372786737,-34.50650296024569,0.968349414962893,201.02466697339136,1.3177053694084107,19.2171,1.0707741,,,NOT_AVAILABLE,,,,
625453654702751872,154.89888734445609,0.05757310655164684,19.869815836399834,0.058149423141046395,201.36831861385065,0.06787122588691534,8.206579,2.574914,,,NOT_AVAILABLE,3859.045,,,
6562924609150908416,323.39126161735066,0.030734005637702434,-49.012516898172024,0.02947393630491829,201.40726525568854,0.04288537223029828,7.7376122,2.2436948,12.522688429166,0.14970441348167493,NOT_AVAILABLE,3993.4624,0.113,,
2021088949568882432,293.5674613010799,0.45141347553562466,24.099198752162902,1.0362392428827332,201.4221051253429,1.8614174897216256,19.167332,,,,NOT_AVAILABLE,,,,
4052550069031965824,274.31682915288565,1.3283005828603698,-26.941922346188548,1.1724631811219648,201.5516128843257,1.8357948344121153,19.843119,,,,NOT_AVAILABLE,,,,
4048741841740545792,272.6609378828624,1.0994196570447143,-32.6327882056031,0.7195797272304539,201.62280685993952,1.133093440296794,19.09666,,,,NOT_AVAILABLE,,,,
4269360945853774080,286.33181321056753,1.4540793856673677,4.105053030911145,1.748330156185253,201.87924425165218,2.1414123961934837,20.539558,,,,NOT_AVAILABLE,,,,
4107869075972240640,259.8750499335173,1.8087115175832553,-28.290075237333767,2.1944120511721543,202.4360456806613,2.167040165075953,20.48624,,,,NOT_AVAILABLE,,,,
4051256871618346880,276.144095524867,1.182660538762807,-28.286064153600773,1.00523169020659,202.82101000687788,1.2223039577085317,20.120882,,,,NOT_AVAILABLE,,,,
