phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax
20.702248,22.190643,18.884672,50.00019778524733
18.948711,19.630178,17.438574,50.00630547082087
17.258026,20.512266,15.647074,50.00863100383097
19.776623,18.96965,18.025637,50.01129317994813
12.466857,14.018782,11.261345,50.01588327187635
20.613075,21.13464,18.889929,50.02123738896106
19.155859,19.414099,18.226555,50.02522730342493
12.778846,14.445499,11.534855,50.03275608758494
19.671131,,,50.03280431335774
10.861935,12.28518,9.715376,50.03446515292732
12.676616,14.131319,11.504557,50.03580186997558
13.460741,15.179634,12.2124815,50.036949448105375
15.843331,18.854599,14.312948,50.04068097179109
20.280321,,,50.04074112099875
18.733006,18.904072,17.504063,50.04158997706284
19.844028,19.099236,18.145437,50.04997766717412
20.478107,20.018023,18.230444,50.059169916111486
19.638891,21.072056,17.953588,50.061128346652985
19.245455,,,50.062472761841285
19.015966,18.63401,16.802864,50.06431707154068
12.458682,14.139908,11.206341,50.070155445008545
11.204655,12.8168955,9.985644,50.085482086673984
19.58329,,,50.08619921393363
12.049418,13.590458,10.848131,50.087649997744016
16.512846,19.6558,14.964861,50.09243820940752
15.635002,15.946429,15.141097,50.103270373286215
12.777463,14.484234,11.52794,50.10371058915455
14.870893,17.198124,13.472941,50.10467414816444
17.175625,17.937473,16.347586,50.10494921999782
19.06833,21.41788,17.361536,50.10640086091394
19.868105,,,50.10830109863885
17.347502,20.59777,15.739999,50.109749870280304
13.783294,15.709701,12.467887,50.12875789959193
11.5025015,12.864466,10.38186,50.143114559761294
14.248061,16.27967,12.910122,50.14385655323578
20.58015,,,50.151710890899814
13.038262,14.4850645,11.528073,50.16537941482147
18.68791,,,50.17352490701393
19.48217,19.48332,17.547123,50.17775569854519
11.659253,13.290354,10.429432,50.180322122631885
12.700175,14.262995,11.414479,50.180328610354955
20.718952,,,50.18938246227895
18.706198,18.67397,17.09894,50.1912762440016
19.88935,,,50.191817344869136
19.654682,,,50.19470290115774
20.432365,,,50.20599276194785
9.142467,9.976664,8.277973,50.22305856148162
14.185201,16.263016,12.834532,50.223210217320606
20.794575,20.851843,19.140198,50.2287434162887
12.46302,13.855702,11.314179,50.238451279778744
18.751753,,,50.243277730615965
12.2298565,13.602894,11.0866165,50.24632130759343
14.076984,16.042393,12.755711,50.25204279775203
13.465206,15.353003,12.168723,50.2530942235707
11.399179,12.786968,10.260457,50.25410899506734
13.038478,12.968777,13.130781,50.25941970609666
18.681286,18.24266,17.105309,50.26320192028652
11.769752,13.15231,10.620509,50.269571600485484
14.902516,17.194628,13.519077,50.2721129291697
18.646685,18.540848,17.346485,50.276750303002174
11.540344,12.74672,10.468775,50.27730442400682
