phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax
16.31435,16.412218,16.077105,20.000053228140487
17.711119,17.996761,16.791782,20.0001458308998
15.311312,16.896334,14.084733,20.0003208838023
15.426994,17.217798,14.140398,20.00036092085933
15.036797,16.585987,13.818333,20.00037632098496
14.824924,16.4529,13.5880785,20.000381106207513
13.125108,14.506596,11.9727125,20.000493628436416
18.940298,19.879171,17.243324,20.000582158096915
20.017529,,,20.00058304339594
17.618176,20.583801,16.126806,20.000687159351727
20.738678,20.539564,18.874409,20.000957768903366
16.001696,17.892813,14.6831255,20.00096413793855
18.719006,19.0967,17.950005,20.000976404408647
14.8111515,16.580143,13.541055,20.001181517534462
14.319695,16.022022,13.052909,20.001306174911576
19.348362,19.727638,17.82586,20.00142798434511
20.5975,,,20.00151445642093
19.371258,19.401028,18.177963,20.00168117151866
19.558651,,,20.002005263554587
19.984968,20.161797,18.71283,20.002092631335174
14.337128,15.904847,13.112268,20.002142588986562
11.898887,12.965335,10.887411,20.002189398975467
7.8731165,8.185276,7.435245,20.002239405300802
19.934038,20.184958,19.101767,20.00240203725396
19.16851,19.152588,17.952398,20.002447215686747
16.06738,18.181574,14.704404,20.002468099984778
19.917349,20.608816,18.545044,20.002480498932556
14.852592,16.47552,13.615458,20.002513126429903
9.697568,10.20323,9.069328,20.002599631984545
18.582485,18.984118,17.970879,20.00266405159721
18.24638,18.072287,16.914667,20.002738666334036
20.183855,19.993677,19.063028,20.002780492486373
15.677733,17.4062,14.386919,20.002842561966283
8.370713,8.72334,7.897131,20.002987066120674
16.493956,18.61648,15.134913,20.00316340088299
19.643234,20.202673,18.39711,20.003447194172715
19.266317,19.122374,17.412111,20.003530196606484
17.520033,20.042662,16.057478,20.003671662304434
20.338127,,,20.00368917302073
13.029756,14.285547,11.782471,20.00372932372301
11.176553,12.261204,10.197444,20.00389242802475
20.208485,20.10448,18.557283,20.003902855645862
17.906532,17.833822,16.5409,20.003956007185014
14.048709,15.477375,12.881575,20.003984286815562
8.562315,8.940189,8.058769,20.004036828214378
16.195002,18.206635,14.850716,20.004040992289163
19.245342,,,20.004221746584324
15.795923,17.712667,14.479067,20.004586498417346
19.624468,19.525585,18.428715,20.004672658611703
19.442127,,,20.00476543270575
17.8696,18.096962,16.833216,20.004812109840064
20.575043,20.924353,18.830448,20.00487471883388
16.48749,18.599781,15.126533,20.00489648590826
12.4969845,13.503819,11.5131,20.00490205398637
19.648674,,,20.004946459592883
16.604725,18.671488,15.221068,20.005095264569107
18.252413,19.28202,16.789165,20.00510811401609
16.446053,18.520485,15.090197,20.005247844367283
8.881648,9.431914,8.220439,20.005291866733582
15.849902,17.660326,14.558056,20.005738982096084
18.761063,18.521656,17.341013,20.005788661832973
14.038806,15.514188,12.84876,20.005854321001134
17.310343,19.873577,15.870574,20.006106591009146
10.0598345,10.685951,9.346611,20.00612952502228
12.0161495,13.051559,10.973112,20.006334917793406
20.825808,22.034473,19.256231,20.00638615712831
20.967611,21.706915,19.150578,20.00639560119977
8.0070095,8.357884,7.543605,20.0064047808505
10.917459,11.669282,10.1029825,20.006540705672503
12.71596,14.227396,11.5164995,20.00654108011589
20.649548,20.685644,18.828442,20.006549283150488
14.3155775,15.7702265,13.129878,20.006572576757463
20.501791,21.13148,18.954601,20.006589380162755
19.50401,19.887808,18.645994,20.00663903269818
20.860483,20.712494,19.412191,20.006881569931746
18.719755,19.283884,17.956244,20.006963973581726
19.852036,20.591227,18.497793,20.00703515662105
20.28934,,,20.007112473863007
19.329762,19.086485,17.962614,20.007176990450635
20.23723,19.698195,18.06066,20.007178240922652
20.566517,20.379568,19.250986,20.007200915647566
19.112387,18.718693,17.078606,20.007229449838086
14.729399,16.412146,13.480363,20.007401107697202
15.474545,17.02109,14.262365,20.00750574209136
20.51395,20.386642,18.606813,20.00751576909086
20.699059,,,20.0076271528303
20.379713,,,20.00767738289844
9.491272,10.007351,8.865094,20.007725388946447
13.103631,14.463098,11.958089,20.00783000009407
19.232992,,,20.00787104308074
19.738775,20.142239,18.62477,20.007896505753116
19.92075,19.925243,18.115623,20.00796814194862
20.222715,20.720201,18.494879,20.007980295098946
20.356546,20.410135,19.084936,20.008137192842344
14.257278,15.589513,13.115156,20.008166550754545
9.3629265,9.820137,8.777746,20.008234527843932
10.327924,11.0310135,9.555623,20.008300468813903
12.574494,13.708636,11.531769,20.008561586285673
