pl_name,star_num,plan_num,pl_rad_e,pl_rad_j,pl_mass_e,pl_mass_j,ra,dec,dist,mag
WASP-183 b,1,1,16.477,1.47,159.55066,0.502,163.7888521,-0.7370663,325.377,12.8148
WASP-6 b,1,1,13.72,1.224,160,0.503,348.1571282,-22.6741248,197.119,11.9761
Kepler-45 b,1,1,10.76,0.96,160.497,0.505,292.8729292,41.0641727,381.949,15.9804
WASP-60 b,1,1,9.64,0.86,160.50415,0.505,356.6667136,31.1559115,431.052,12.0196
WASP-177 b,1,1,17.71,1.58,161.45764,0.508,334.7969885,-1.8344301,176.818,12.0715
WASP-101 b,1,1,16.029,1.43,162.0933,0.51,98.3511016,-23.486086,201.224,10.138
WASP-17 b,1,1,21.185,1.89,162.0933,0.51,239.9622479,-28.0617941,405.908,11.3803
WASP-13 b,1,1,17.127,1.528,162.72896,0.512,140.1029654,33.8823291,227.537,10.38
WASP-17 b,1,1,22.317,1.991,162.72896,0.512,239.9622479,-28.0617941,405.908,11.3803
WASP-118 b,1,1,16.141,1.44,163.36462,0.514,19.5505861,2.7027847,376.658,10.9196
WASP-60 b,1,1,9.64,0.86,163.358,0.514,356.6667136,31.1559115,431.052,12.0196
CoRoT-26 b,1,1,14.12,1.26,165.26,0.52,279.7504991,6.9697828,1045.18,15.4682
KELT-6 b,1,2,14.572,1.3,165.2716,0.52,195.9818362,30.640145,240.726,10.1934
OGLE-TR-111 b,1,1,11.96,1.067,165.2716,0.52,163.324115,-61.4056976,1068.33,16.5277
OGLE-TR-111 b,1,1,10.873,0.97,165.2716,0.52,163.324115,-61.4056976,1068.33,16.5277
WASP-118 b,1,1,15.625,1.394,165.2716,0.52,19.5505861,2.7027847,376.658,10.9196
WASP-62 b,1,1,14.796,1.32,165.2716,0.52,87.1398205,-63.9883286,175.631,10.0721
Kepler-77 b,1,1,10.761,0.96,165.90726,0.522,289.6079433,44.3454347,639.411,13.9172
HAT-P-1 b,2,1,13.731,1.225,166.536,0.524,344.4453632,38.674919,158.979,10.1786
HAT-P-1 b,2,1,13.641,1.217,166.54292,0.524,344.4453632,38.674919,158.979,10.1786
HAT-P-1 b,2,1,14.785,1.319,166.86075,0.525,344.4453632,38.674919,158.979,10.1786
HAT-P-1 b,2,1,13.922,1.242,166.86075,0.525,344.4453632,38.674919,158.979,10.1786
WASP-13 b,1,1,17.127,1.528,166.86075,0.525,140.1029654,33.8823291,227.537,10.38
HATS-10 b,1,1,10.862,0.969,167.17858,0.526,294.3068385,-22.2044872,534.889,12.9838
HAT-P-65 b,1,1,21.185,1.89,167.49641,0.527,315.9054895,11.9893675,738.519,12.9952
WASP-42 b,1,1,12.576,1.122,167.49641,0.527,192.981203,-42.0736165,177.291,11.9686
CoRoT-16 b,1,1,13.115,1.17,168.13207,0.529,278.5246658,-6.0026026,732.409,15.6507
HAT-P-1 b,2,1,14.785,1.319,168.13207,0.529,344.4453632,38.674919,158.979,10.1786
HAT-P-1 b,2,1,15.244,1.36,168.4499,0.53,344.4453632,38.674919,158.979,10.1786
HAT-P-1 b,2,1,14.796,1.32,168.4499,0.53,344.4453632,38.674919,158.979,10.1786
HATS-27 b,1,1,16.814,1.5,168.4499,0.53,193.5524603,-46.5877159,816.988,12.6792
OGLE-TR-111 b,1,1,11.265,1.005,168.4499,0.53,163.324115,-61.4056976,1068.33,16.5277
OGLE-TR-111 b,1,1,11.209,1,168.4499,0.53,163.324115,-61.4056976,1068.33,16.5277
WASP-11 b,3,1,10.2,0.91,168.4499,0.53,47.3689472,30.6733817,124.73,11.5535
PH1 b,4,1,6.18,0.551,169,0.531,298.2150641,39.9550863,1033.16,13.6988
HAT-P-1 b,2,1,13.922,1.242,169.08556,0.532,344.4453632,38.674919,158.979,10.1786
WASP-11 b,3,1,11.097,0.99,169.08556,0.532,47.3689472,30.6733817,124.73,11.5535
HAT-P-17 b,1,2,11.321,1.01,169.71,0.534,324.5359781,30.4881882,92.3831,10.2743
Kepler-238 e,1,5,5.6,0.5,169.7,0.534,287.8971066,40.6378141,1798.75,15.0243
CoRoT-16 b,1,1,13.11,1.17,170.032,0.535,278.5246658,-6.0026026,732.409,15.6507
HAT-P-17 b,1,2,11.321,1.01,170.67471,0.537,324.5359781,30.4881882,92.3831,10.2743
WASP-80 b,1,1,11.198,0.999,170.99254,0.538,303.1667996,-2.1444369,49.7876,11.273
OGLE-TR-111 b,1,1,12.072,1.077,171.6282,0.54,163.324115,-61.4056976,1068.33,16.5277
WASP-15 b,1,1,15.805,1.41,171.6282,0.54,208.9280111,-32.1597118,282.091,10.797
WASP-80 b,1,1,10.671,0.952,171.6282,0.54,303.1667996,-2.1444369,49.7876,11.273
WASP-15 b,1,1,16.006,1.428,172.26386,0.542,208.9280111,-32.1597118,282.091,10.797
WASP-15 b,1,1,16.01,1.428,172,0.542,208.9280111,-32.1597118,282.091,10.797
HATS-13 b,1,1,13.585,1.212,172.58169,0.543,316.9614798,-26.0967205,421.855,13.6799
HATS-3 b,1,1,11.097,0.99,174.8065,0.55,312.4574879,-24.4286938,411.211,11.8914
Kepler-41 b,1,1,9.98,0.89,174.8,0.55,294.5132465,45.9816453,1093.08,14.413
OGLE-TR-111 b,1,1,11.332,1.011,174.8065,0.55,163.324115,-61.4056976,1068.33,16.5277
OGLE-TR-111 b,1,1,11.781,1.051,174.799,0.55,163.324115,-61.4056976,1068.33,16.5277
WASP-159 b,1,1,15.468,1.38,174.8065,0.55,68.1364792,-38.9682973,715.383,12.2951
WASP-60 b,1,1,9.864,0.88,174.8065,0.55,356.6667136,31.1559115,431.052,12.0196
WASP-80 b,1,1,10.65,0.95,174.8,0.55,303.1667996,-2.1444369,49.7876,11.273
WASP-15 b,1,1,15.457,1.379,175.12433,0.551,208.9280111,-32.1597118,282.091,10.797
WASP-80 b,1,1,10.671,0.952,176.07,0.554,303.1667996,-2.1444369,49.7876,11.273
XO-2 N b,2,3,11.119,0.992,176.39565,0.555,117.0267691,50.2251472,154.273,10.9718
HAT-P-4 b,2,1,15.323,1.367,176.71348,0.556,229.99122,36.229545,320.451,11.0634
HATS-44 b,1,1,11.96,1.067,177.9848,0.56,84.3267559,-27.9725758,446.035,14.1595
Kepler-41 b,1,1,11.657,1.04,177.9848,0.56,294.5132465,45.9816453,1093.08,14.413
Kepler-41 b,1,1,14.46,1.29,177.98,0.56,294.5132465,45.9816453,1093.08,14.413
Kepler-60 c,1,3,2.47,0.22,177.98,0.56,288.9612535,42.2650472,1025.1,13.9132
Kepler-8 b,1,1,15.906,1.419,177.9848,0.56,281.2881335,42.4510975,1021.87,13.5299
WASP-22 b,1,1,12.554,1.12,177.9848,0.56,52.8180374,-23.8197924,317.652,11.5821
WASP-34 b,1,1,11.209,1,177.9848,0.56,165.3993679,-23.8609457,132.096,10.2046
WASP-60 b,1,1,13.731,1.225,177.9848,0.56,356.6667136,31.1559115,431.052,12.0196
WASP-88 b,1,1,19.055,1.7,177.98,0.56,309.5112337,-48.4620833,523.756,11.478
WASP-169 b,1,1,14.617,1.304,178.30263,0.561,127.3872297,-12.9447683,627.066,11.7206
WASP-80 b,1,1,11.052,0.986,178.62046,0.562,303.1667996,-2.1444369,49.7876,11.273
XO-2 N b,2,3,11.164,0.996,179.566,0.565,117.0267691,50.2251472,154.273,10.9718
Kepler-41 b,1,1,14.46,1.29,179.89178,0.566,294.5132465,45.9816453,1093.08,14.413
XO-2 N b,2,3,11.131,0.993,179.89178,0.566,117.0267691,50.2251472,154.273,10.9718
XO-2 N b,2,3,11.018,0.983,179.89178,0.566,117.0267691,50.2251472,154.273,10.9718
HAT-P-25 b,1,1,13.339,1.19,180.202,0.567,48.4354731,25.1973548,300.384,12.8416
HAT-P-25 b,1,1,13.339,1.19,180.20961,0.567,48.4354731,25.1973548,300.384,12.8416
WASP-62 b,1,1,15.581,1.39,180.52744,0.568,87.1398205,-63.9883286,175.631,10.0721
HAT-P-25 b,1,1,12.722,1.135,180.84527,0.569,48.4354731,25.1973548,300.384,12.8416
HAT-P-39 b,2,1,17.609,1.571,180.84527,0.569,113.7582526,17.8300283,697.004,12.2269
Kepler-56 c,1,3,9.8,0.874,181,0.57,293.7583002,41.871807,912.994,12.4298
OGLE-TR-10 b,1,1,13.899,1.24,181.1631,0.57,267.8677483,-29.8764758,1344.97,15.6845
WASP-184 b,1,1,14.908,1.33,181.1631,0.57,209.51701,-30.348153,663.231,12.5673
WASP-22 b,1,1,12.98,1.158,181.1631,0.57,52.8180374,-23.8197924,317.652,11.5821
WASP-55 b,2,1,14.572,1.3,181.155,0.57,203.7581951,-17.5034961,297.462,11.7747
WASP-62 b,1,1,15.581,1.39,181.155,0.57,87.1398205,-63.9883286,175.631,10.0721
WASP-88 b,1,1,19.055,1.7,181.1631,0.57,309.5112337,-48.4620833,523.756,11.478
WASP-55 b,2,1,14.572,1.3,181.48093,0.571,203.7581951,-17.5034961,297.462,11.7747
WASP-56 b,2,1,12.24,1.092,181.473,0.571,183.3660401,23.055687,321.084,12.0028
WASP-157 b,1,1,11.938,1.065,182.43442,0.574,201.6551525,-8.3176353,334.037,12.1818
WASP-25 b,1,1,13.675,1.22,182.43442,0.574,195.3597581,-27.5222273,211.416,11.6885
Kepler-432 b,2,2,12.834,1.145,182.75225,0.575,293.2822344,48.2859173,848.023,12.1822
HATS-69 b,1,1,10.593,0.945,183.38791,0.577,289.2974275,-60.8917599,414.537,13.7643
K2-30 b,1,1,11.646,1.039,184.02357,0.579,52.3420548,22.2993491,333.042,13.2056
CoRoT-26 b,1,1,14.123,1.26,184.3414,0.58,279.7504991,6.9697828,1045.18,15.4682
