pl_name,star_num,plan_num,pl_rad_e,pl_rad_j,pl_mass_e,pl_mass_j,ra,dec,dist,mag
XO-7 b,1,1,15.39,1.373,225.34147,0.709,277.4780753,85.2333208,234.149,10.4575
Kepler-245 c,1,4,2.38,0.212,225.6,0.71,291.6389972,42.4363482,861.527,15.5969
Kepler-77 b,1,1,10.76,0.96,225.65,0.71,289.6079433,44.3454347,639.411,13.9172
WASP-35 b,1,1,14.572,1.3,225.6593,0.71,76.0818912,-6.2297801,202.218,10.8531
HAT-P-30 b,2,1,15.02,1.34,225.968,0.711,123.9498431,5.8368669,213.985,10.2998
HD 209458 b,1,1,15.468,1.38,226.93062,0.714,330.7950219,18.8842419,48.3016,7.50866
CoRoT-4 b,1,1,13.34,1.19,228.83,0.72,102.1946233,-0.6727861,726.412,13.5613
Kepler-423 b,1,1,13.45,1.2,228.83,0.72,292.8557189,46.3911883,758.753,14.28
Kepler-49 c,1,4,2.55,0.227,228.83,0.72,292.2945208,40.5918123,311.222,15.2293
WASP-35 b,1,1,14.796,1.32,228.828,0.72,76.0818912,-6.2297801,202.218,10.8531
WASP-74 b,1,1,15.244,1.36,228.8376,0.72,304.538843,-1.0760033,149.216,9.5723
HAT-P-24 b,2,1,13.922,1.242,229.79109,0.723,108.8251171,14.2626064,415.344,11.6396
WASP-81 b,1,1,16.018,1.429,231.69807,0.729,304.2079924,3.2939492,398.505,12.3326
HAT-P-43 b,1,1,14.359,1.281,232.0159,0.73,128.9256885,10.2065866,528.825,13.2165
HD 209458 b,1,1,15.581,1.39,232.0159,0.73,330.7950219,18.8842419,48.3016,7.50866
K2-29 b,2,1,13.339,1.19,232.0159,0.73,62.670422,24.4016558,178.475,12.2008
CoRoT-4 b,1,1,13.002,1.16,232.33373,0.731,102.1946233,-0.6727861,726.412,13.5613
Wendelstein-2 b,1,1,12.993,1.159,232.33373,0.731,297.7909214,16.9125679,565.541,15.9359
HAT-P-30 b,2,1,16.466,1.469,232.96939,0.733,123.9498431,5.8368669,213.985,10.2998
Qatar-10 b,1,1,17.295,1.543,233.92288,0.736,284.4439052,69.5708373,559.068,12.6978
HD 209458 b,1,1,15.805,1.41,235.1942,0.74,330.7950219,18.8842419,48.3016,7.50866
NGTS-2 b,1,1,17.878,1.595,235.1942,0.74,215.1227617,-31.2020698,356.391,10.8605
Kepler-56 b,1,3,6.51,0.581,236.2,0.743,293.7583002,41.871807,912.994,12.4298
HAT-P-30 b,2,1,15.02,1.34,237.10118,0.746,123.9498431,5.8368669,213.985,10.2998
HAT-P-9 b,1,1,15.614,1.393,238.05467,0.749,110.1685157,37.1405946,455.203,12.1536
HAT-P-24 b,2,1,14.572,1.3,238.3725,0.75,108.8251171,14.2626064,415.344,11.6396
HAT-P-32 b,2,1,20.053,1.789,238.3725,0.75,31.0427614,46.6878512,289.205,11.1335
OGLE-TR-211 b,1,1,14.146,1.262,238.3725,0.75,160.0598236,-62.4555353,1515.26,15.0702
TrES-1 b,2,1,12.11,1.08,238.36,0.75,286.0408755,36.632536,159.658,11.5565
TrES-1 b,2,1,11.96,1.067,238.998,0.752,286.0408755,36.632536,159.658,11.5565
HAT-P-54 b,1,1,10.581,0.944,241.5508,0.76,99.8979924,25.4824005,143.651,13.0172
HATS-54 b,1,1,11.96,1.067,241.5508,0.76,200.6348641,-44.6888393,748.585,13.7762
Kepler-91 b,1,1,14.572,1.3,241.54,0.76,285.6729033,44.1167513,1294.69,12.4762
HAT-P-9 b,1,1,15.693,1.4,241.86863,0.761,110.1685157,37.1405946,455.203,12.1536
TrES-1 b,2,1,12.319,1.099,241.86863,0.761,286.0408755,36.632536,159.658,11.5565
HAT-P-33 b,2,1,18.898,1.686,242.176,0.762,113.1842383,33.8350214,396.11,11.0238
HAT-P-29 b,2,1,11.926,1.064,243.77561,0.767,33.1310921,51.7787754,313.576,11.7336
HATS-51 b,1,1,15.805,1.41,244.09344,0.768,102.8474248,-29.0586551,389.57,12.3293
K2-290 c,3,2,11.276,1.006,246.00042,0.774,234.8578846,-20.1988975,272.909,10.8204
HAT-P-29 b,2,1,12.408,1.107,247.261,0.778,33.1310921,51.7787754,313.576,11.7336
HAT-P-9 b,1,1,15.468,1.38,247.27174,0.778,110.1685157,37.1405946,455.203,12.1536
HAT-P-9 b,1,1,15.69,1.4,247.9,0.78,110.1685157,37.1405946,455.203,12.1536
OGLE-TR-111 b,1,1,11.781,1.051,247.9074,0.78,163.324115,-61.4056976,1068.33,16.5277
TrES-4 b,2,1,18.046,1.61,247.9074,0.78,268.3043361,37.2117397,515.98,11.4731
WASP-17 b,1,1,20.961,1.87,247.9074,0.78,239.9622479,-28.0617941,405.908,11.3803
HAT-P-66 b,1,1,17.822,1.59,248.86089,0.783,150.5726262,53.9508237,935.456,12.8922
WASP-11 b,3,1,12.442,1.11,251.0857,0.79,47.3689472,30.6733817,124.73,11.5535
TOI-169 b,1,1,12.173,1.086,251.40353,0.791,16.7786879,-75.1989452,407.84,12.2379
HAT-P-41 b,2,1,18.887,1.685,252.67485,0.795,297.3226523,4.6724124,348.185,10.939
HAT-P-41 b,2,1,18.887,1.685,254.253,0.8,297.3226523,4.6724124,348.185,10.939
HAT-P-41 b,2,1,18.887,1.685,254.264,0.8,297.3226523,4.6724124,348.185,10.939
KOI-351 g,1,8,8.07,0.72,254.264,0.8,284.4334642,49.3051239,848.254,13.7397
Kepler-23 b,1,3,1.9,0.17,254.3,0.8,294.2189131,49.4792536,835.756,13.4015
WASP-48 b,1,1,16.814,1.5,254.264,0.8,291.1623865,55.4730273,454.144,11.523
WASP-92 b,1,1,16.376,1.461,255.85315,0.805,246.6920395,51.0411328,575.889,12.8183
HATS-59 b,1,2,12.621,1.126,256.17098,0.806,170.324325,-22.388177,642.884,13.7854
Kepler-91 b,1,1,15.323,1.367,257.4423,0.81,285.6729033,44.1167513,1294.69,12.4762
Lupus-TR-3 b,1,1,9.976,0.89,257.431,0.81,232.5774696,-42.9799461,773.409,18.765
NGTS-1 b,1,1,14.908,1.33,258.07796,0.812,82.7142134,-36.6309812,218.121,14.8661
HATS-9 b,1,1,13.141,1.172,259.34928,0.816,290.8101704,-20.1663771,638.7,13.0983
HAT-P-52 b,1,1,11.31,1.009,259.66711,0.817,42.7217412,29.0222492,361.155,13.787
WASP-78 b,1,1,17.822,1.59,259.66711,0.817,63.7562662,-22.1163901,754.258,12.1879
HAT-P-52 b,1,1,11.31,1.009,259.98494,0.818,42.7217412,29.0222492,361.155,13.787
HATS-65 b,2,1,16.825,1.501,260.93843,0.821,292.9397825,-26.7402021,493.32,12.3793
HATS-9 b,1,1,11.938,1.065,261.57409,0.823,290.8101704,-20.1663771,638.7,13.0983
CoRoT-9 b,2,1,11.624,1.037,262.52758,0.826,280.7866461,6.2040783,412.98,13.5008
WASP-74 b,1,1,15.737,1.404,262.52758,0.826,304.538843,-1.0760033,149.216,9.5723
HAT-P-30 b,2,1,16.141,1.44,263.7989,0.83,123.9498431,5.8368669,213.985,10.2998
HAT-P-32 b,2,1,19.616,1.75,263.7989,0.83,31.0427614,46.6878512,289.205,11.1335
HATS-11 b,1,1,16.668,1.487,263.7989,0.83,289.4007603,-22.3900092,944.603,13.8333
WASP-98 b,2,1,12.33,1.1,263.79,0.83,58.4290113,-34.3282716,281.742,12.8678
XO-1 b,1,1,12.778,1.14,263.7989,0.83,240.5492745,28.1696248,163.553,11.004
WASP-16 b,1,1,13.653,1.218,264.43456,0.832,214.6830109,-20.2754374,194.134,11.1247
HATS-9 b,1,1,11.938,1.065,266.02371,0.837,290.8101704,-20.1663771,638.7,13.0983
CoRoT-29 b,1,1,10.088,0.9,266.9772,0.84,278.9020691,6.4795703,806.507,15.2394
CoRoT-31 b,1,1,16.365,1.46,266.9772,0.84,94.820735,-4.4222978,2005.76,15.4655
CoRoT-9 b,2,1,11.77,1.05,266.97,0.84,280.7866461,6.2040783,412.98,13.5008
CoRoT-9 b,2,1,11.949,1.066,266.9772,0.84,280.7866461,6.2040783,412.98,13.5008
K2-107 b,1,1,16.141,1.44,266.9772,0.84,284.985355,-22.2934206,685.2,12.7669
K2-115 b,1,1,12.498,1.115,266.9772,0.84,126.5535002,12.281851,413.591,13.2
Kepler-435 b,1,1,22.31,1.99,266.97,0.84,292.2873012,43.1972542,1418.77,13.604
TrES-1 b,2,1,12.666,1.13,266.9772,0.84,286.0408755,36.632536,159.658,11.5565
WASP-142 b,1,1,17.15,1.53,266.9772,0.84,140.5063164,-23.946102,730.933,12.7568
WASP-79 b,1,1,20.4,1.82,267.93069,0.843,66.3709016,-30.6004362,246.69,9.97202
CoRoT-9 b,2,1,11.949,1.066,268.88418,0.846,280.7866461,6.2040783,412.98,13.5008
WASP-1 b,2,1,16.242,1.449,268.88418,0.846,5.1669536,31.9899732,393.072,11.5349
WASP-2 b,2,1,11.691,1.043,269.20201,0.847,307.7255587,6.4293305,153.242,11.5638
WASP-2 b,2,1,11.691,1.043,269.20201,0.847,307.7255587,6.4293305,153.242,11.5638
WASP-98 b,2,1,12.33,1.1,269.51984,0.848,58.4290113,-34.3282716,281.742,12.8678
CoRoT-29 b,1,1,10.088,0.9,270.1555,0.85,278.9020691,6.4795703,806.507,15.2394
HATS-11 b,1,1,16.926,1.51,270.1555,0.85,289.4007603,-22.3900092,944.603,13.8333
Kepler-435 b,1,1,22.306,1.99,270.1555,0.85,292.2873012,43.1972542,1418.77,13.604
WASP-26 b,2,1,13.563,1.21,270.1555,0.85,4.6030424,-15.2674044,252.759,10.9935
WASP-41 b,1,2,12.33,1.1,270.1555,0.85,190.6188034,-30.6398176,163.371,11.2823
WASP-79 b,1,1,17.15,1.53,270.1555,0.85,66.3709016,-30.6004362,246.69,9.97202
WASP-79 b,1,1,18.719,1.67,270.1555,0.85,66.3709016,-30.6004362,246.69,9.97202
HAT-P-13 b,1,2,14.258,1.272,270.462,0.851,129.8823772,47.3519076,246.81,10.4168
HAT-P-13 b,1,2,14.359,1.271,271.098,0.853,129.8823772,47.3519076,246.81,10.4168
WASP-1 b,2,1,16.623,1.483,271.415,0.854,5.1669536,31.9899732,393.072,11.5349
WASP-16 b,1,1,11.3,1.008,272,0.855,214.6830109,-20.2754374,194.134,11.1247
WASP-176 b,1,1,16.87,1.505,271.74465,0.855,313.6872928,9.1790688,568.42,11.9392
WASP-59 b,1,1,8.687,0.775,272.38031,0.857,349.6229547,24.889277,115.936,12.3142
KELT-8 b,1,1,20.849,1.86,272.69814,0.858,283.3054489,24.1272483,197.572,10.6699
HAT-P-32 b,2,1,20.131,1.796,273.3338,0.86,31.0427614,46.6878512,289.205,11.1335
HAT-P-32 b,2,1,20.053,1.789,273.322,0.86,31.0427614,46.6878512,289.205,11.1335
HAT-P-45 b,1,1,15.984,1.426,273.3338,0.86,274.3732697,-3.3810594,298.64,12.3977
K2-238 b,1,1,14.572,1.3,273.3338,0.86,347.7043164,-7.8575592,537.963,13.6635
WASP-1 b,2,1,16.634,1.484,273.3338,0.86,5.1669536,31.9899732,393.072,11.5349
WASP-78 b,1,1,23.091,2.06,273.3338,0.86,63.7562662,-22.1163901,754.258,12.1879
WASP-59 b,1,1,8.687,0.775,274.276,0.863,349.6229547,24.889277,115.936,12.3142
WASP-2 b,2,1,12.072,1.077,275.24078,0.866,307.7255587,6.4293305,153.242,11.5638
KELT-8 b,1,1,20.849,1.86,275.55861,0.867,283.3054489,24.1272483,197.572,10.6699
WASP-44 b,1,1,10.985,0.98,275.55861,0.867,3.9032733,-11.9382645,364.512,12.8964
WASP-44 b,1,1,12.33,1.1,276.5121,0.87,3.9032733,-11.9382645,364.512,12.8964
CoRoT-12 b,1,1,15.065,1.344,277.46559,0.873,100.7656871,-1.2964437,1126.37,15.3453
TrES-4 b,2,1,20.288,1.81,278.73691,0.877,268.3043361,37.2117397,515.98,11.4731
WASP-44 b,1,1,12.778,1.14,279.05474,0.878,3.9032733,-11.9382645,364.512,12.8964
WASP-23 b,1,1,10.783,0.962,279.37257,0.879,101.1275033,-42.7622296,207.49,12.3208
HAT-P-29 b,2,1,13.115,1.17,279.6904,0.88,33.1310921,51.7787754,313.576,11.7336
HAT-P-42 b,1,1,14.348,1.28,279.6904,0.88,135.3443583,6.0970828,405.238,12.0031
HATS-31 b,1,1,18.383,1.64,279.6904,0.88,191.7028214,-24.4273897,773.974,12.9613
Kepler-91 b,1,1,15.513,1.384,279.68,0.88,285.6729033,44.1167513,1294.69,12.4762
WASP-2 b,2,1,10.705,0.955,279.68,0.88,307.7255587,6.4293305,153.242,11.5638
WASP-2 b,2,1,11.915,1.063,279.6904,0.88,307.7255587,6.4293305,153.242,11.5638
HAT-P-13 b,1,2,14.359,1.281,280.64389,0.883,129.8823772,47.3519076,246.81,10.4168
WASP-23 b,1,1,10.783,0.962,280.95,0.884,101.1275033,-42.7622296,207.49,12.3208
Kepler-46 b,1,3,9.079,0.81,281.27955,0.885,289.2687388,42.6041819,777.06,15.2548
CoRoT-12 b,1,1,15.132,1.35,281.91521,0.887,100.7656871,-1.2964437,1126.37,15.3453
WASP-44 b,1,1,12.778,1.14,282.539,0.889,3.9032733,-11.9382645,364.512,12.8964
WASP-1 b,2,1,21.633,1.93,282.8687,0.89,5.1669536,31.9899732,393.072,11.5349
WASP-145 A b,2,1,10.088,0.9,282.8687,0.89,322.2537644,-58.8361466,91.299,11.3583
WASP-58 b,2,1,15.36,1.37,282.86,0.89,274.7012534,45.1722194,290.404,11.6347
WASP-78 b,1,1,19.055,1.7,282.857,0.89,63.7562662,-22.1163901,754.258,12.1879
HAT-P-45 b,1,1,15.984,1.426,283.492,0.892,274.3732697,-3.3810594,298.64,12.3977
TrES-4 b,2,1,19.448,1.735,285.09351,0.897,268.3043361,37.2117397,515.98,11.4731
HAT-P-13 b,1,2,16.668,1.487,285.72917,0.899,129.8823772,47.3519076,246.81,10.4168
WASP-123 b,2,1,14.773,1.318,285.72917,0.899,289.4792124,-32.8601244,197.996,10.8999
WASP-28 b,1,1,15.177,1.354,285.717,0.899,353.6162694,-1.5799849,348.494,12.0286
WASP-58 b,2,1,15.356,1.37,285.72917,0.899,274.7012534,45.1722194,290.404,11.6347
OGLE-TR-56 b,1,1,14.572,1.3,286.047,0.9,269.1479583,-29.5392222,,
WASP-180 A b,2,1,13.899,1.24,286.047,0.9,123.3922465,-1.9827874,253.985,10.9134
WASP-79 b,1,1,23.43,2.09,286.03,0.9,66.3709016,-30.6004362,246.69,9.97202
XO-1 b,1,1,14.572,1.3,286.047,0.9,240.5492745,28.1696248,163.553,11.004
XO-1 b,1,1,13.271,1.184,286.047,0.9,240.5492745,28.1696248,163.553,11.004
KELT-4 A b,3,1,19.044,1.699,286.68266,0.902,157.06262,25.5731366,218.05,9.95702
Kepler-56 c,1,3,9.8,0.874,286.8,0.902,293.7583002,41.871807,912.994,12.4298
HAT-P-13 b,1,2,16.668,1.487,287.95398,0.906,129.8823772,47.3519076,246.81,10.4168
WASP-28 b,1,1,13.597,1.213,287.95398,0.906,353.6162694,-1.5799849,348.494,12.0286
WASP-28 b,1,1,13.597,1.213,288.26,0.907,353.6162694,-1.5799849,348.494,12.0286
WASP-48 b,1,1,15.65,1.396,288,0.907,291.1623865,55.4730273,454.144,11.523
WASP-16 b,1,1,11.299,1.008,288.58964,0.908,214.6830109,-20.2754374,194.134,11.1247
KELT-15 b,2,1,16.175,1.443,289.2253,0.91,117.4149764,-52.1204471,324.683,11.0694
XO-1 b,1,1,13.518,1.206,290.17879,0.913,240.5492745,28.1696248,163.553,11.004
WASP-2 b,2,1,12.52,1.117,290.484,0.914,307.7255587,6.4293305,153.242,11.5638
CoRoT-12 b,1,1,16.141,1.44,290.81445,0.915,100.7656871,-1.2964437,1126.37,15.3453
WASP-2 b,2,1,12.005,1.071,290.802,0.915,307.7255587,6.4293305,153.242,11.5638
CoRoT-12 b,1,1,16.14,1.44,291.438,0.917,100.7656871,-1.2964437,1126.37,15.3453
TrES-4 b,2,1,19.123,1.706,291.45011,0.917,268.3043361,37.2117397,515.98,11.4731
WASP-1 b,2,1,16.97,1.514,292,0.918,5.1669536,31.9899732,393.072,11.5349
WASP-1 b,2,1,16.97,1.514,291.76794,0.918,5.1669536,31.9899732,393.072,11.5349
XO-1 b,1,1,13.518,1.206,291.76794,0.918,240.5492745,28.1696248,163.553,11.004
TrES-4 b,2,1,20.165,1.799,292.073,0.919,268.3043361,37.2117397,515.98,11.4731
HAT-P-33 b,2,1,20.737,1.85,292.4036,0.92,113.1842383,33.8350214,396.11,11.0238
HATS-32 b,1,1,14,1.249,292.4036,0.92,346.0750861,-21.2720168,745.116,14.2166
Kepler-54 b,1,3,2.1,0.187,292.39,0.92,294.7739245,43.0561976,271.701,15.8133
TrES-4 b,2,1,19.627,1.751,292.4036,0.92,268.3043361,37.2117397,515.98,11.4731
WASP-41 b,1,2,13.451,1.2,292.391,0.92,190.6188034,-30.6398176,163.371,11.2823
WASP-76 b,2,1,20.512,1.83,292.4036,0.92,26.632936,2.700389,194.459,9.39507
XO-1 b,1,1,13.563,1.21,292.391,0.92,240.5492745,28.1696248,163.553,11.004
HATS-55 b,1,1,14.022,1.251,292.72143,0.921,114.2833819,-32.7554188,609.838,13.3498
WASP-98 b,2,1,12.823,1.144,293.03926,0.922,58.4290113,-34.3282716,281.742,12.8678
XO-1 b,1,1,13.518,1.206,293.67492,0.924,240.5492745,28.1696248,163.553,11.004
WASP-2 b,2,1,12.005,1.071,293.99275,0.925,307.7255587,6.4293305,153.242,11.5638
Kepler-412 b,1,1,14.852,1.325,294.62841,0.927,286.1103053,43.6809612,1086.24,14.2486
WASP-28 b,1,1,14.011,1.25,294.62841,0.927,353.6162694,-1.5799849,348.494,12.0286
NGTS-8 b,1,1,12.218,1.09,295.5819,0.93,328.9759206,-14.0684399,428.976,13.4954
WASP-2 b,2,1,12.117,1.081,295.89973,0.931,307.7255587,6.4293305,153.242,11.5638
KELT-23 A b,2,1,14.83,1.323,298.12454,0.938,232.1466406,66.3587097,126.261,10.182
Kepler-412 b,1,1,14.852,1.325,298.43,0.939,286.1103053,43.6809612,1086.24,14.2486
WASP-41 b,1,2,13.227,1.18,298.7602,0.94,190.6188034,-30.6398176,163.371,11.2823
HATS-34 b,1,1,16.029,1.43,299.07803,0.941,0.7744866,-62.4693167,508.842,13.679
Kepler-412 b,1,1,15.031,1.341,299.07803,0.941,286.1103053,43.6809612,1086.24,14.2486
WASP-41 b,1,2,13.451,1.2,299.07803,0.941,190.6188034,-30.6398176,163.371,11.2823
Kepler-11 g,1,6,3.66,0.327,300,0.944,297.1150949,41.9091092,646.346,13.7062
WASP-74 b,1,1,17.486,1.56,300.03152,0.944,304.538843,-1.0760033,149.216,9.5723
WASP-1 b,2,1,16.97,1.514,301.30284,0.948,5.1669536,31.9899732,393.072,11.5349
KELT-12 b,1,1,19.952,1.78,301.9385,0.95,267.6404906,36.5701761,368.03,10.4842
WASP-68 b,2,1,13.9,1.24,301.93,0.95,305.0957239,-19.3147271,226.399,10.4092
WASP-74 b,1,1,17.486,1.56,301.9385,0.95,304.538843,-1.0760033,149.216,9.5723
WASP-68 b,2,1,13.899,1.24,304.16331,0.957,305.0957239,-19.3147271,226.399,10.4092
HATS-63 b,1,1,13.529,1.207,305.1168,0.96,67.418582,-28.1972149,623.232,13.7213
HATS-64 b,1,1,18.82,1.679,305.1168,0.96,144.2876092,-29.800444,1080.15,12.839
WASP-7 b,1,1,10.256,0.915,305.1168,0.96,311.0427558,-39.2254856,162.303,9.37671
WASP-7 b,1,1,15.278,1.363,305.1168,0.96,311.0427558,-39.2254856,162.303,9.37671
WASP-7 b,1,1,14.908,1.33,305.1168,0.96,311.0427558,-39.2254856,162.303,9.37671
WASP-45 b,2,1,10.604,0.946,306.38812,0.964,5.2377567,-35.998465,211.196,12.0487
K2-99 b,1,1,14.46,1.29,308.2951,0.97,208.7737624,-5.4424943,519.229,10.9485
Kepler-539 b,1,2,8.373,0.747,308.2951,0.97,299.1224639,41.8667953,307.318,12.379
WASP-58 b,2,1,16.029,1.43,308.2951,0.97,274.7012534,45.1722194,290.404,11.6347
TOI-1130 c,1,2,16.814,1.5,309.56642,0.974,286.3760037,-41.4376399,58.2609,10.9028
WASP-41 b,1,2,13.204,1.178,310.51991,0.977,190.6188034,-30.6398176,163.371,11.2823
HAT-P-5 b,1,1,13.563,1.21,311.4734,0.98,274.4055335,36.6214617,303.336,11.8224
Kepler-49 b,1,4,2.72,0.243,311.46,0.98,292.2945208,40.5918123,311.222,15.2293
WASP-1 b,2,1,16.735,1.493,311.4734,0.98,5.1669536,31.9899732,393.072,11.5349
WASP-185 b,1,1,14.011,1.25,311.4734,0.98,214.0595791,-19.5423062,279.35,10.8949
WASP-48 b,1,1,18.719,1.67,311.46,0.98,291.1623865,55.4730273,454.144,11.523
WASP-7 b,1,1,15.401,1.374,311.4734,0.98,311.0427558,-39.2254856,162.303,9.37671
Kepler-44 b,1,1,12.218,1.09,311.79123,0.981,300.1023512,45.7621918,1188,14.6901
WASP-48 b,1,1,18.719,1.67,312.74472,0.984,291.1623865,55.4730273,454.144,11.523
WASP-175 b,1,1,13.54,1.208,314.6517,0.99,166.3187996,-34.1227453,539.36,12.7065
Kepler-44 b,1,1,12.22,1.09,317.82,1,300.1023512,45.7621918,1188,14.6901
WASP-129 b,2,1,10.424,0.93,317.83,1,176.2990518,-42.0639575,301.462,11.8127
WASP-190 b,1,1,12.89,1.15,317.83,1,7.7095292,-40.5734613,542.251,11.6333
WASP-45 b,2,1,11.119,0.992,318.46566,1.002,5.2377567,-35.998465,211.196,12.0487
WASP-45 b,2,1,13.002,1.16,318.78349,1.003,5.2377567,-35.998465,211.196,12.0487
WASP-45 b,2,1,13.002,1.16,320.041,1.007,5.2377567,-35.998465,211.196,12.0487
Kepler-643 b,1,1,12.778,1.14,321.0083,1.01,290.3272423,42.8982283,1063.58,13.7694
OGLE-TR-132 b,1,1,12.89,1.15,320.99,1.01,162.6440933,-61.9572476,2012.62,16.4883
OGLE-TR-182 b,1,1,12.666,1.13,320.995,1.01,167.3279228,-61.0952624,2501.75,16.6783
HD 202772 A b,2,1,17.318,1.545,323.23311,1.017,319.6995877,-26.6163743,161.498,8.22688
K2-140 b,1,1,12.274,1.095,323.86877,1.019,188.1373172,-9.6076115,347.917,12.4814
HAT-P-5 b,1,1,14.056,1.254,324.1866,1.02,274.4055335,36.6214617,303.336,11.8224
Kepler-44 b,1,1,13.9,1.24,324.17,1.02,300.1023512,45.7621918,1188,14.6901
Kepler-87 b,1,2,13.49,1.204,324.2,1.02,297.9168433,46.9651146,1232.9,14.5869
WASP-26 b,2,1,13.63,1.216,324.1866,1.02,4.6030424,-15.2674044,252.759,10.9935
WASP-26 b,2,1,14.359,1.281,326.715,1.028,4.6030424,-15.2674044,252.759,10.9935
CoRoT-1 b,1,1,17.385,1.551,327.3649,1.03,102.0798591,-3.1021394,787.909,13.457
CoRoT-1 b,1,1,16.7,1.49,327.35,1.03,102.0798591,-3.1021394,787.909,13.457
HATS-58 A b,2,1,12.274,1.095,327.3649,1.03,186.7873036,-48.9784105,403.591,11.7679
Kepler-424 b,1,2,9.98,0.89,327.35,1.03,298.6249797,48.57745,698.646,14.229
Kepler-44 b,1,1,13.451,1.2,327.3649,1.03,300.1023512,45.7621918,1188,14.6901
OGLE-TR-211 b,1,1,15.244,1.36,327.351,1.03,160.0598236,-62.4555353,1515.26,15.0702
WASP-48 b,1,1,18.719,1.67,327.68273,1.031,291.1623865,55.4730273,454.144,11.523
WASP-26 b,2,1,14.796,1.32,329.90754,1.038,4.6030424,-15.2674044,252.759,10.9935
WASP-45 b,2,1,12.778,1.14,330.5432,1.04,5.2377567,-35.998465,211.196,12.0487
HAT-P-42 b,1,1,14.348,1.28,331.801,1.044,135.3443583,6.0970828,405.238,12.0031
XO-5 b,1,1,12.431,1.109,332.45018,1.046,116.7163868,39.0944695,276.211,11.9498
HAT-P-35 b,3,1,14.93,1.332,334.979,1.054,123.250703,4.7870288,506.965,12.2802
HAT-P-35 b,3,1,14.93,1.332,335.62848,1.056,123.250703,4.7870288,506.965,12.2802
HAT-P-6 b,1,1,14.908,1.33,335.932,1.057,354.7740917,42.4659866,275.358,10.3056
HAT-P-6 b,1,1,14.908,1.33,336.58197,1.059,354.7740917,42.4659866,275.358,10.3056
XO-5 b,1,1,12.431,1.109,336.568,1.059,116.7163868,39.0944695,276.211,11.9498
HAT-P-5 b,1,1,14.056,1.254,336.8998,1.06,274.4055335,36.6214617,303.336,11.8224
HAT-P-5 b,1,1,14.12,1.26,336.89,1.06,274.4055335,36.6214617,303.336,11.8224
OGLE-TR-182 b,1,1,16.477,1.47,336.8998,1.06,167.3279228,-61.0952624,2501.75,16.6783
WASP-24 b,3,1,14.572,1.3,336.8998,1.06,227.2154975,2.343286,322.114,11.3945
HAT-P-6 b,1,1,15.637,1.395,337.85329,1.063,354.7740917,42.4659866,275.358,10.3056
HATS-14 b,1,1,11.646,1.039,339.76027,1.069,313.2154754,-25.6873756,513.011,13.7712
WASP-19 b,1,1,15.603,1.392,339.76027,1.069,148.4167672,-45.6591078,268.325,12.1088
CoRoT-1 b,1,1,15.917,1.42,340.0781,1.07,102.0798591,-3.1021394,787.909,13.457
HATS-14 b,1,1,11.657,1.04,340.0781,1.07,313.2154754,-25.6873756,513.011,13.7712
OGLE-TR-182 b,1,1,16.477,1.47,340.0781,1.07,167.3279228,-61.0952624,2501.75,16.6783
WASP-75 b,2,1,14.235,1.27,340.06,1.07,342.3858995,-10.6754686,294.001,11.3347
HATS-14 b,1,1,11.646,1.039,340.39593,1.071,313.2154754,-25.6873756,513.011,13.7712
HATS-3 b,1,1,15.48,1.381,340.382,1.071,312.4574879,-24.4286938,411.211,11.8914
HATS-3 b,1,1,15.48,1.381,340.39593,1.071,312.4574879,-24.4286938,411.211,11.8914
WASP-24 b,3,1,14.571,1.3,340.382,1.071,227.2154975,2.343286,322.114,11.3945
WASP-47 b,1,4,12.77,1.139,341,1.0729,331.203092,-12.019067,264.78,11.7889
WASP-75 b,2,1,14.235,1.27,341.03159,1.073,342.3858995,-10.6754686,294.001,11.3347
Kepler-424 b,1,2,9.976,0.89,341.98508,1.076,298.6249797,48.57745,698.646,14.229
OGLE-TR-113 b,1,1,12.218,1.09,343.2564,1.08,163.1010355,-61.4468591,566.459,15.443
WASP-68 b,2,1,14.796,1.32,343.2564,1.08,305.0957239,-19.3147271,226.399,10.4092
WASP-7 b,1,1,15.278,1.363,344.20989,1.083,311.0427558,-39.2254856,162.303,9.37671
WASP-171 b,1,1,10.985,0.98,344.52772,1.084,171.8450533,-44.0887035,757.84,12.4407
XO-5 b,1,1,12.207,1.089,344.52772,1.084,116.7163868,39.0944695,276.211,11.9498
CoRoT-19 b,1,1,13.339,1.19,346.4347,1.09,97.0335983,-0.1707293,790.663,13.7831
KPS-1 b,1,1,11.545,1.03,346.4347,1.09,165.167198,64.9638452,262.706,12.7933
Qatar-1 b,1,1,13.047,1.164,346.42,1.09,303.3818697,65.1623313,185.615,12.4764
HATS-3 b,1,1,15.48,1.381,349.613,1.1,312.4574879,-24.4286938,411.211,11.8914
HD 189733 b,2,1,12.3,1.1,349.6,1.1,300.1821223,22.7097759,19.7638,7.41432
K2-97 b,1,1,14.684,1.31,349.613,1.1,127.762837,10.8475571,878.43,12.3059
KOI-12 b,1,2,13.787,1.23,349.613,1.1,297.4537402,41.0110188,399.398,11.2535
Kepler-418 b,1,1,13.451,1.2,349.613,1.1,294.4335228,38.3554729,1002.53,14.649
Kepler-418 b,1,1,13.45,1.2,349.6,1.1,294.4335228,38.3554729,1002.53,14.649
HAT-P-6 b,1,1,14.908,1.33,351.51998,1.106,354.7740917,42.4659866,275.358,10.3056
