source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,lum_val
3314024566918614528,65.73420939641956,0.3810575386267071,17.542394646426683,0.21347502853629627,19.063188649433368,0.3699071529928941,3.4155405,1.160408,,,"NOT_AVAILABLE",4946.5,,98.5148
3311464182294287104,64.48199616948583,0.061988649380944755,14.546191599164752,0.036946793738552565,19.063231502443852,0.0738104395210779,13.771758,2.715047,,,"NOT_AVAILABLE",3956.5469,0.5095,
3312602348628348032,68.63449771774363,0.04885495431683199,15.8274688911633,0.02279690129213192,19.11200162735418,0.05699245109526056,9.407179,1.0924311,40.00407479861788,0.2074091143239702,"NOT_AVAILABLE",5036.045,0.033,0.3855936
3313241714640886400,69.60439499516899,0.12728325681050764,17.542293133636043,0.0662018658156588,19.116419030094068,0.1705016384415352,9.691323,1.4780893,,,"NOT_AVAILABLE",4453.5273,,0.35422507
3313070293905997824,69.00075050981559,0.3531461981272288,16.540674374532042,0.2721372792083155,19.126738368242012,0.42735608986423274,10.29208,1.6052094,44.785934612117416,0.9174923215743335,"NOT_AVAILABLE",4202.47,1.206,0.22978367
3311151229500925952,66.05245108754707,0.415919089824256,14.758158115965022,0.3541185896120202,19.537117061355413,0.5034665554797033,7.4278135,0.79395485,41.24052871495005,0.21400047605416445,"NOT_AVAILABLE",5905.5,0.3823,2.0701575
3314393590508675456,66.59088956948261,0.08347877230817541,18.000157364523197,0.03776642385796158,19.551516628444656,0.08337303229055905,14.327611,3.1202488,,,"NOT_AVAILABLE",3704.545,1.253,
3314484094059409408,66.99616241399718,0.10921037187553631,18.500106182252008,0.0680094431427653,19.558208482091477,0.10192571634290348,9.782602,1.3080711,34.509997411423114,0.49072710054708274,"NOT_AVAILABLE",4719.1265,0.461,0.28248885
3313947704182762240,66.09325498830424,0.06637909294265,17.078839735842145,0.028903373103949748,19.592217473093243,0.07065826430681633,6.8392606,0.5997567,38.5381388823084,0.34466515242877754,"NOT_AVAILABLE",6466.95,0.2653,3.4921165
3313743710417140864,66.60302074082938,0.1630598254260652,16.85318525798189,0.08082241407092976,19.840123303586104,0.150544259083428,7.8740706,0.8291478,44.27898362540665,1.0429658998450646,"NOT_AVAILABLE",5739.25,0.1945,1.3433526
3309289520093349888,69.28550619607172,0.05394767021791333,14.785277801150448,0.025167263978505192,19.8680128835537,0.0622902610108976,14.51723,2.630518,,,"NOT_AVAILABLE",3906.65,0.007,
3314137850976020096,68.03342478089714,0.24559342174122462,17.66468065649173,0.10211484437366264,19.90015691766096,0.29330431604454305,16.581018,,,,"NOT_AVAILABLE",,,
3309956850635519488,69.0223739356554,0.04129781545872109,15.683900843044109,0.02074852102961276,19.912605847511,0.04820109787248162,9.133689,1.0354481,40.61890701356144,0.2834237190901564,"NOT_AVAILABLE",5143.3335,0.041,0.44770184
3313346408763839488,67.80200597396056,0.1217948572297313,17.161335158654577,0.048478398134417344,19.991597634577047,0.1283205241581216,16.001213,3.6375961,,,"NOT_AVAILABLE",3359.0,1.1137,
3312408314888858752,67.64158070456722,0.39434180667965124,14.747980665006523,0.18445745761691196,19.999379194659987,0.4546937490010555,13.490524,2.7088547,,,"NOT_AVAILABLE",3970.53,0.6173,
3313958046465282304,66.30693819922311,0.12469923441695725,17.268080474504615,0.06293429656737624,20.097210163574747,0.14498069765427687,12.004024,2.686429,,,"NOT_AVAILABLE",3881.04,,0.052550357
3311906770084019712,64.36772711736377,0.04808842989932991,14.90098569965624,0.029631500762207313,20.192264884167965,0.05278972737384675,13.276046,2.595872,,,"NOT_AVAILABLE",3536.4133,,
3312882483575093760,67.79636319390852,0.0625236896939335,16.39576593419968,0.027281758953080174,20.22976698400599,0.07082930847923337,13.815214,2.7509222,,,"NOT_AVAILABLE",3928.615,0.4267,
3310903740601986432,66.94642734675811,0.035777979441787754,14.417667226435933,0.017674040052279332,20.24646845027351,0.04016623813869068,9.211576,1.0989523,39.59152717290279,0.2466476661871245,"NOT_AVAILABLE",4960.1953,0.24,0.41822818
3309540170088830464,68.494365342456,0.3898566168905392,15.163530278136792,0.34852610710971454,20.260478061420866,0.47827114981353314,8.267405,1.0332575,40.5414191853923,0.450349253308971,"NOT_AVAILABLE",5383.82,0.5653,0.9266733
3311102820926310784,65.39668022047789,0.07172264899347441,14.69515656171164,0.04299114610140715,20.28981925143624,0.07632174988677534,14.314161,2.8825989,,,"NOT_AVAILABLE",3927.47,0.322,
3311038666998173184,65.84972981052806,0.13998007165380894,14.427852577362499,0.08495217931777939,20.296549460594196,0.15087975425327044,13.5766535,2.9365911,,,"NOT_AVAILABLE",3740.81,,
3308269757418376576,68.95256210326133,0.0490753457819064,13.28796867394807,0.026311577669043948,20.309148268499914,0.05839584235802952,13.635512,2.733282,,,"NOT_AVAILABLE",4107.38,0.5625,
47869373315376000,65.95083781852811,0.13567178936669835,18.470189404475825,0.061800168017629054,20.351503110964057,0.14815770532273972,16.812235,3.5006094,,,"NOT_AVAILABLE",3633.795,0.367,
3309540449262796544,68.55437841710436,0.06668301974543211,15.181909470920523,0.030518708908812458,20.376243037949777,0.0750800477760177,15.307837,2.828124,,,"NOT_AVAILABLE",3933.8025,0.301,
3314172176354869632,67.3311918235613,0.12563661578100208,17.60561110473117,0.049381917931909866,20.383388906041972,0.14169595490885364,15.993995,3.6916637,,,"NOT_AVAILABLE",3499.5225,,
