source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
3305847670741196544,68.67795126691175,0.04283587656196863,10.975920805672807,0.023532768797579665,20.28394239513861,0.051949261233970534,13.646641,2.5282116,,,"NOT_AVAILABLE",3667.5,0.0955
3311102820926310784,65.39668022047789,0.07172264899347441,14.69515656171164,0.04299114610140715,20.28981925143624,0.07632174988677534,14.314161,2.8825989,,,"NOT_AVAILABLE",3927.47,0.322
3311038666998173184,65.84972981052806,0.13998007165380894,14.427852577362499,0.08495217931777939,20.296549460594196,0.15087975425327044,13.5766535,2.9365911,,,"NOT_AVAILABLE",3740.81,
3308269757418376576,68.95256210326133,0.0490753457819064,13.28796867394807,0.026311577669043948,20.309148268499914,0.05839584235802952,13.635512,2.733282,,,"NOT_AVAILABLE",4107.38,0.5625
48026706557926528,67.15465729101624,0.37013528994704387,19.18027817758484,0.2481464204699017,20.312961052093055,0.4260689938844761,3.158721,1.2315211,,,"NOT_AVAILABLE",4670.75,
3311514210073309056,63.607355663290356,0.04996470827165767,14.624972882807876,0.030063006234290767,20.330805536884775,0.05545475286983261,8.289951,0.8722091,38.04333150982913,0.18119962175305315,"NOT_AVAILABLE",5631.125,0.099
3305271423568029696,63.12891787002626,0.20374767957833623,13.327137076305812,0.19174892548032696,20.337033728364407,0.22294933530220762,18.35618,,,,"NOT_AVAILABLE",,
47869373315376000,65.95083781852811,0.13567178936669835,18.470189404475825,0.061800168017629054,20.351503110964057,0.14815770532273972,16.812235,3.5006094,,,"NOT_AVAILABLE",3633.795,0.367
3306095468877972608,67.37974933192338,0.04429481216129041,11.222267747968436,0.02306521514583915,20.35496544062644,0.052660375304023774,11.610811,1.8596249,16.383370316426962,0.3705096770804991,"NOT_AVAILABLE",4033.52,0.133
3309540449262796544,68.55437841710436,0.06668301974543211,15.181909470920523,0.030518708908812458,20.376243037949777,0.0750800477760177,15.307837,2.828124,,,"NOT_AVAILABLE",3933.8025,0.301
3314172176354869632,67.3311918235613,0.12563661578100208,17.60561110473117,0.049381917931909866,20.383388906041972,0.14169595490885364,15.993995,3.6916637,,,"NOT_AVAILABLE",3499.5225,
3307815006281475200,67.87267345794213,0.07848207521023114,13.903400045733694,0.04516021679720874,20.38386447722427,0.08378991329270719,7.629576,0.7044482,39.8910170917807,0.22080725855010888,"NOT_AVAILABLE",6132.6665,0.026
3312652513846244096,68.20928391099704,0.2237162043411278,16.00568757238531,0.13951418571059507,20.39695782208213,0.26404910293479833,8.665884,1.0934639,,,"NOT_AVAILABLE",5003.1533,0.5885
3306095473174253184,67.37458972356956,0.06079691370868764,11.224761987642827,0.030476014346553233,20.421485120237097,0.07903933349057393,15.185453,3.0294857,,,"NOT_AVAILABLE",3974.1199,0.301
3313842529024545664,65.85491461033463,0.09398467511585491,16.77715110759729,0.04848176133680661,20.434085024263453,0.10925398251183775,5.563784,0.38607407,,,"NOT_AVAILABLE",7401.6665,0.719
3306016372760404992,66.18384829595526,0.05092404123432711,10.771998763354222,0.03078511831212968,20.45847960065399,0.05785395812123712,12.990063,2.4628315,40.54637204629489,2.0341889148170984,"NOT_AVAILABLE",3760.0,0.3655
3306830943374154240,66.42257300304709,0.039928833336505744,11.503362083885571,0.023953076004616342,20.46225687046978,0.044980733064029964,11.046045,1.6493464,8.196660644692972,0.4491320934238871,"NOT_AVAILABLE",4183.63,0.0197
3307371215900262784,67.80305490737388,0.07905537143182137,12.477267917187827,0.03380375922271525,20.48193787692786,0.09173512009933987,15.410414,3.1724586,,,"NOT_AVAILABLE",3592.0774,0.4747
3307843524864280192,67.09387627092575,0.07677671432299897,13.822678913712352,0.029611347619150595,20.50663201053929,0.09868466800277474,14.918414,3.172782,,,"NOT_AVAILABLE",3770.21,
3304849176745102080,60.29640380062446,0.046509824496119165,12.098369940023884,0.025442218848662705,20.513083280832937,0.053545639676014355,11.322896,1.8055611,38.68408992151719,0.4582495144286457,"NOT_AVAILABLE",3998.4275,0.636
3311024789960504576,65.39544210986372,0.057782140106947176,14.409706546064516,0.03082936887360825,20.51987931160925,0.06770289008990016,6.48186,0.55333567,39.02481865137145,0.31175959084523025,"NOT_AVAILABLE",6695.0,0.5222
3311640138514119040,62.39482807850997,0.06739834297495598,14.560611964545563,0.037556611096938586,20.542134792511884,0.0763390248910301,14.974868,2.6547441,,,"NOT_AVAILABLE",3807.365,0.039
3306592418070112384,68.18962261758399,0.05269703406952661,12.06660851154717,0.023898539082450983,20.54999515095694,0.05664882150368247,13.763806,2.7533484,,,"NOT_AVAILABLE",4076.08,0.552
3309990523179108480,69.53971722851033,0.21213191834055128,16.033218656557306,0.12387901426228808,20.551985644941578,0.21929736351783943,5.68812,0.43625116,,,"NOT_AVAILABLE",7134.373,0.6237
3313259169388356608,68.40863659424868,0.04694679093063558,16.762389765759902,0.02073744286923947,20.55769802307952,0.051259236740466924,9.152518,1.0640316,40.27001901445682,0.16028100283284963,"NOT_AVAILABLE",4944.74,0.133
3311120722349948672,65.2340974957228,0.0979514452970988,14.85949901303648,0.05261868926359044,20.56879221304413,0.11050220249791207,15.158329,3.149828,,,"NOT_AVAILABLE",3669.45,0.3905
3307650109600736000,67.20947489647735,0.14313552448589964,13.047537872988826,0.0867331708470991,20.588748041485722,0.16140418882725793,4.951238,0.27555895,,,"NOT_AVAILABLE",7814.3335,0.6
48061409893621248,67.1555375920541,0.06034313591308539,19.740525157828195,0.033220491213724855,20.627049336082834,0.06342494004010826,8.430403,0.90806866,40.2288729565351,1.75494676826947,"NOT_AVAILABLE",5489.2,0.0675
47541100375011968,65.38495322490863,0.038158139323063965,18.41744468199816,0.020926126592020068,20.64269164472822,0.038760335728723075,6.683846,0.592185,38.458678614133795,0.34054996380281843,"NOT_AVAILABLE",6551.6,0.1995
3304849172450634368,60.297970544970546,0.04222622275618897,12.098266960174337,0.022841596790716144,20.65048539865406,0.047623196694696356,11.7510805,1.953639,,,"NOT_AVAILABLE",4079.29,0.3523
47751828650825856,65.05887516013911,0.15547795449262936,18.7019720155637,0.07610222886129772,20.68403410659809,0.165655369993215,17.412321,3.9890118,,,"NOT_AVAILABLE",,
